time_ms,power_w
2,82.574
2,82.574
2,82.574
3,82.574
4,82.574
5,82.574
6,82.574
7,82.574
8,82.574
9,82.574
10,82.574
11,82.574
12,82.574
13,82.574
14,82.574
15,82.574
16,82.574
17,82.574
18,82.574
19,82.574
20,82.574
21,82.574
22,82.574
23,82.574
24,82.574
25,82.574
26,82.574
27,82.574
28,82.574
29,82.574
30,82.574
31,82.574
32,82.574
33,82.574
34,82.574
35,82.574
36,82.574
37,82.574
38,82.574
39,82.574
40,82.574
41,82.574
42,82.574
43,82.574
44,82.574
45,82.574
46,82.574
47,82.574
48,82.574
49,82.574
50,82.574
51,82.574
52,82.574
53,82.574
54,82.574
55,82.574
56,82.574
57,82.574
58,82.574
59,82.574
60,82.574
61,82.574
62,82.574
63,82.574
64,82.574
65,82.574
66,82.574
67,82.574
68,82.574
69,82.574
70,82.574
71,82.574
72,82.574
73,82.574
74,82.574
75,82.574
76,82.574
77,82.574
78,82.574
79,82.574
80,82.574
81,82.574
82,82.574
83,82.574
84,82.574
85,82.574
86,82.574
87,82.574
88,82.574
89,82.574
90,82.574
91,82.574
92,82.574
93,82.574
94,82.574
95,82.574
96,82.574
97,82.574
98,82.574
99,82.574
100,82.574
101,82.574
102,82.574
103,82.574
104,82.574
105,82.574
106,82.574
107,82.574
108,82.574
109,82.574
110,82.574
111,82.574
112,82.574
113,82.574
114,82.574
115,82.574
116,82.574
117,82.574
118,82.574
119,82.574
120,82.574
121,82.574
122,82.574
123,82.574
124,82.574
125,82.574
126,82.574
127,82.574
128,82.574
129,82.574
130,82.574
131,82.574
132,82.574
133,82.574
134,82.574
135,82.574
136,82.574
137,82.574
138,82.574
139,82.574
140,82.574
141,82.574
142,82.574
143,82.574
144,82.574
145,82.574
146,82.574
147,82.574
148,82.574
149,82.574
150,82.574
151,82.574
152,82.574
153,82.574
154,82.574
155,82.574
156,82.574
157,82.574
158,82.574
159,82.574
160,82.574
161,82.574
162,82.574
163,82.574
164,82.574
165,82.574
166,82.574
167,82.574
168,82.574
169,82.574
170,82.574
171,82.574
172,82.574
173,82.574
174,82.574
175,82.574
176,82.574
177,82.574
178,82.574
179,82.574
180,82.574
181,82.574
182,82.574
183,82.574
184,82.574
185,82.574
186,82.574
187,82.574
188,82.574
189,82.574
190,82.574
191,82.574
192,82.574
193,82.574
194,82.574
195,82.574
196,82.574
197,82.574
198,82.574
199,82.574
200,82.574
201,82.574
202,82.574
203,82.574
204,82.574
205,82.574
206,82.574
207,82.574
208,82.574
209,82.574
210,82.574
211,82.574
212,82.574
213,82.574
214,82.574
215,82.574
216,82.574
217,82.574
218,82.574
219,82.574
220,82.574
221,82.574
222,82.574
223,82.302
224,82.302
225,82.302
226,82.302
227,82.302
228,82.302
229,82.302
230,82.302
231,82.302
232,82.302
233,82.302
234,82.302
235,82.302
236,82.302
237,82.302
238,82.302
239,82.302
240,82.302
241,82.302
242,82.302
243,82.302
244,82.302
245,82.302
246,82.302
247,82.302
248,82.302
249,82.302
250,82.302
251,82.302
252,82.302
253,82.302
254,82.302
255,82.302
256,82.302
257,82.302
258,82.302
259,82.302
260,82.302
261,82.302
262,82.302
263,82.302
264,82.302
265,82.302
266,82.302
267,82.302
268,82.302
269,82.302
270,82.302
271,82.302
272,82.302
273,82.302
274,82.302
275,82.302
276,82.302
277,82.302
278,82.302
279,82.302
280,82.302
281,82.302
282,82.302
283,82.302
284,82.302
285,82.302
286,82.302
287,82.302
288,82.302
289,82.302
290,82.302
291,82.302
292,82.302
293,82.302
294,82.302
295,82.302
296,82.302
297,82.302
298,82.302
299,82.302
300,82.302
301,82.302
302,82.302
303,82.302
304,82.302
305,82.302
306,82.302
307,82.302
308,82.302
309,82.302
310,82.302
311,82.302
312,82.302
313,82.302
314,82.302
315,82.302
316,82.302
317,82.302
318,82.302
319,82.302
320,82.302
321,82.302
322,82.302
323,82.574
324,82.574
325,82.574
326,82.574
327,82.574
328,82.574
329,82.574
330,82.574
331,82.574
332,82.574
333,82.574
334,82.574
335,82.574
336,82.574
337,82.574
338,82.574
339,82.574
340,82.574
341,82.574
342,82.574
343,82.574
344,82.574
345,82.574
346,82.574
347,82.574
348,82.574
349,82.574
350,82.574
351,82.574
352,82.574
353,82.574
354,82.574
355,82.574
356,82.574
357,82.574
358,82.574
359,82.574
360,82.574
361,82.574
362,82.574
363,82.574
364,82.574
365,82.574
366,82.574
367,82.574
368,82.574
369,82.574
370,82.574
371,82.574
372,82.574
373,82.574
374,82.574
375,82.574
376,82.574
377,82.574
378,82.574
379,82.574
380,82.574
381,82.574
382,82.574
383,82.574
384,82.574
385,82.574
386,82.574
387,82.574
388,82.574
389,82.574
390,82.574
391,82.574
392,82.574
393,82.574
394,82.574
395,82.574
396,82.574
397,82.574
398,82.574
399,82.574
400,82.574
401,82.574
402,82.574
403,82.574
404,82.574
405,82.574
406,82.574
407,82.574
408,82.574
409,82.574
410,82.574
411,82.574
412,82.574
413,82.574
414,82.574
415,82.574
416,82.574
417,82.574
418,82.574
419,82.574
420,82.574
421,82.574
422,82.574
423,82.302
424,82.302
425,82.302
426,82.302
427,82.302
428,82.302
429,82.302
430,82.302
431,82.302
432,82.302
433,82.302
434,82.302
435,82.302
436,82.302
437,82.302
438,82.302
439,82.302
440,82.302
441,82.302
442,82.302
443,82.302
444,82.302
445,82.302
446,82.302
447,82.302
448,82.302
449,82.302
450,82.302
451,82.302
452,82.302
453,82.302
454,82.302
455,82.302
456,82.302
457,82.302
458,82.302
459,82.302
460,82.302
461,82.302
462,82.302
463,82.302
464,82.302
465,82.302
466,82.302
467,82.302
468,82.302
469,82.302
470,82.302
471,82.302
472,82.302
473,82.302
474,82.302
475,82.302
476,82.302
477,82.302
478,82.302
479,82.302
480,82.302
481,82.302
482,82.302
483,82.302
484,82.302
485,82.302
486,82.302
487,82.302
488,82.302
489,82.302
490,82.302
491,82.302
492,82.302
493,82.302
494,82.302
495,82.302
496,82.302
497,82.302
498,82.302
499,82.302
500,82.302
501,82.302
502,82.302
503,82.302
504,82.302
505,82.302
506,82.302
507,82.302
508,82.302
509,82.302
510,82.302
511,82.302
512,82.302
513,82.302
514,82.302
515,82.302
516,82.302
517,82.302
518,82.302
519,82.302
520,82.302
521,82.302
522,82.302
523,82.302
524,82.302
525,82.302
526,82.302
527,82.302
528,82.302
529,82.302
530,82.302
531,82.302
532,82.302
533,82.302
534,82.302
535,82.302
536,82.302
537,82.302
538,82.302
539,82.302
540,82.302
541,82.302
542,82.302
543,82.302
544,82.302
545,82.302
546,82.302
547,82.302
548,82.302
549,82.302
550,82.302
551,82.302
552,82.302
553,82.302
554,82.302
555,82.302
556,82.302
557,82.302
558,82.302
559,82.302
560,82.302
561,82.302
562,82.302
563,82.302
564,82.302
565,82.302
566,82.302
567,82.302
568,82.302
569,82.302
570,82.302
571,82.302
572,82.302
573,82.302
574,82.302
575,82.302
576,82.302
577,82.302
578,82.302
579,82.302
580,82.302
581,82.302
582,82.302
583,82.302
584,82.302
585,82.302
586,82.302
587,82.302
588,82.302
589,82.302
590,82.302
591,82.302
592,82.302
593,82.302
594,82.302
595,82.302
596,82.302
597,82.302
598,82.302
599,82.302
600,82.302
601,82.302
602,82.302
603,82.302
604,82.302
605,82.302
606,82.302
607,82.302
608,82.302
609,82.302
610,82.302
611,82.302
612,82.302
613,82.302
614,82.302
615,82.302
616,82.302
617,82.302
618,82.302
619,82.302
620,82.302
621,82.302
622,82.302
623,82.387
624,82.387
625,82.387
626,82.387
627,82.387
628,82.387
629,82.387
630,82.387
631,82.387
632,82.387
633,82.387
634,82.387
635,82.387
636,82.387
637,82.387
638,82.387
639,82.387
640,82.387
641,82.387
642,82.387
643,82.387
644,82.387
645,82.387
646,82.387
647,82.387
648,82.387
649,82.387
650,82.387
651,82.387
652,82.387
653,82.387
654,82.387
655,82.387
656,82.387
657,82.387
658,82.387
659,82.387
660,82.387
661,82.387
662,82.387
663,82.387
664,82.387
665,82.387
666,82.387
667,82.387
668,82.387
669,82.387
670,82.387
671,82.387
672,82.387
673,82.387
674,82.387
675,82.387
676,82.387
677,82.387
678,82.387
679,82.387
680,82.387
681,82.387
682,82.387
683,82.387
684,82.387
685,82.387
686,82.387
687,82.387
688,82.387
689,82.387
690,82.387
691,82.387
692,82.387
693,82.387
694,82.387
695,82.387
696,82.387
697,82.387
698,82.387
699,82.387
700,82.387
701,82.387
702,82.387
703,82.387
704,82.387
705,82.387
706,82.387
707,82.387
708,82.387
709,82.387
710,82.387
711,82.387
712,82.387
713,82.387
714,82.387
715,82.387
716,82.387
717,82.387
718,82.387
719,82.387
720,82.387
721,82.387
722,82.387
723,82.574
724,82.574
725,82.574
726,82.574
727,82.574
728,82.574
729,82.574
730,82.574
731,82.574
732,82.574
733,82.574
734,82.574
735,82.574
736,82.574
737,82.574
738,82.574
739,82.574
740,82.574
741,82.574
742,82.574
743,82.574
744,82.574
745,82.574
746,82.574
747,82.574
748,82.574
749,82.574
750,82.574
751,82.574
752,82.574
753,82.574
754,82.574
755,82.574
756,82.574
757,82.574
758,82.574
759,82.574
760,82.574
761,82.574
762,82.574
763,82.574
764,82.574
765,82.574
766,82.574
767,82.574
768,82.574
769,82.574
770,82.574
771,82.574
772,82.574
773,82.574
774,82.574
775,82.574
776,82.574
777,82.574
778,82.574
779,82.574
780,82.574
781,82.574
782,82.574
783,82.574
784,82.574
785,82.574
786,82.574
787,82.574
788,82.574
789,82.574
790,82.574
791,82.574
792,82.574
793,82.574
794,82.574
795,82.574
796,82.574
797,82.574
798,82.574
799,82.574
800,82.574
801,82.574
802,82.574
803,82.574
804,82.574
805,82.574
806,82.574
807,82.574
808,82.574
809,82.574
810,82.574
811,82.574
812,82.574
813,82.574
814,82.574
815,82.574
816,82.574
817,82.574
818,82.574
819,82.574
820,82.574
821,82.574
822,82.574
823,82.574
824,82.574
825,82.574
826,82.574
827,82.574
828,82.574
829,82.574
830,82.574
831,82.574
832,82.574
833,82.574
834,82.574
835,82.574
836,82.574
837,82.574
838,82.574
839,82.574
840,82.574
841,82.574
842,82.574
843,82.574
844,82.574
845,82.574
846,82.574
847,82.574
848,82.574
849,82.574
850,82.574
851,82.574
852,82.574
853,82.574
854,82.574
855,82.574
856,82.574
857,82.574
858,82.574
859,82.574
860,82.574
861,82.574
862,82.574
863,82.574
864,82.574
865,82.574
866,82.574
867,82.574
868,82.574
869,82.574
870,82.574
871,82.574
872,82.574
873,82.574
874,82.574
875,82.574
876,82.574
877,82.574
878,82.574
879,82.574
880,82.574
881,82.574
882,82.574
883,88.431
884,88.431
885,88.431
886,88.431
887,88.431
888,88.431
889,88.431
890,88.431
891,88.431
892,88.431
893,88.431
894,88.431
895,88.431
896,88.431
897,88.431
898,88.431
899,88.431
900,88.431
901,88.431
902,88.431
903,88.431
904,88.431
905,88.431
906,88.431
907,88.431
908,88.431
909,88.431
910,88.431
911,88.431
912,88.431
913,88.431
914,88.431
915,88.431
916,88.431
917,88.431
918,88.431
919,88.431
920,88.431
921,88.431
922,88.431
923,88.431
924,88.431
925,88.431
926,88.431
927,88.431
928,88.431
929,88.431
930,88.431
931,88.431
932,88.431
933,88.431
934,88.431
935,88.431
936,88.431
937,88.431
938,88.431
939,88.431
940,88.431
941,88.431
942,88.431
943,88.431
944,88.431
945,88.431
946,88.431
947,88.431
948,88.431
949,88.431
950,88.431
951,88.431
952,88.431
953,88.431
954,88.431
955,88.431
956,88.431
957,88.431
958,88.431
959,88.431
961,88.431
961,88.431
962,88.431
963,88.431
964,88.431
965,88.431
966,88.431
967,88.431
968,88.431
969,88.431
970,88.431
971,88.431
972,88.431
973,88.431
974,88.431
975,88.431
976,88.431
977,88.431
978,88.431
979,88.431
980,88.431
981,88.431
982,88.431
983,88.431
984,88.431
985,88.431
986,88.431
987,88.431
988,88.431
989,88.431
990,88.431
991,88.431
992,88.431
993,88.431
994,88.431
995,88.431
996,88.431
997,88.431
998,88.431
999,88.431
1000,88.431
1001,88.431
1002,88.431
1003,88.431
1004,88.431
1005,88.431
1006,88.431
1007,88.431
1008,88.431
1009,88.431
1010,88.431
1011,88.431
1012,88.431
1013,88.431
1014,88.431
1015,88.431
1016,88.431
1017,88.431
1018,88.431
1019,88.431
1020,88.431
1021,88.431
1022,88.431
1023,88.431
1024,88.431
1025,88.431
1026,88.431
1027,88.431
1028,88.431
1029,88.431
1030,88.431
1031,88.431
1032,88.431
1033,88.431
1034,88.431
1035,88.431
1036,88.431
1037,88.431
1038,88.431
1039,88.431
1040,88.431
1041,88.431
1042,88.431
1043,88.431
1044,88.431
1045,88.431
1046,88.431
1047,88.431
1048,88.431
1049,88.431
1050,88.431
1051,88.431
1052,88.431
1053,88.431
1054,88.431
1055,88.431
1056,88.431
1057,88.431
1058,88.431
1059,88.431
1060,88.431
1061,88.431
1062,88.431
1063,88.431
1064,88.431
1065,88.431
1066,88.431
1067,88.431
1068,88.431
1069,88.431
1070,88.431
1071,88.431
1072,88.431
1073,88.431
1074,88.431
1075,88.431
1076,88.431
1077,88.431
1078,88.431
1079,88.431
1080,88.431
1081,88.431
1082,88.431
1083,88.431
1084,88.431
1085,88.431
1086,88.431
1087,88.431
1088,88.431
1089,88.431
1090,88.431
1091,88.431
1092,88.431
1093,88.431
1094,88.431
1095,88.431
1096,88.431
1097,88.431
1098,88.431
1099,88.431
1100,88.431
1101,88.431
1102,88.431
1103,88.431
1104,88.431
1105,88.431
1106,88.431
1107,88.431
1108,88.431
1109,88.431
1110,88.431
1111,88.431
1112,88.431
1113,88.431
1114,88.431
1115,88.431
1116,88.431
1117,88.431
1118,88.431
1119,88.431
1120,88.431
1121,88.431
1122,88.431
1123,88.431
1124,88.431
1125,88.431
1126,88.431
1127,88.431
1128,88.431
1129,88.431
1130,88.431
1131,88.431
1132,88.431
1133,88.431
1134,88.431
1135,88.431
1136,88.431
1137,88.431
1138,88.431
1139,88.431
1140,88.431
1141,88.431
1142,88.431
1143,88.431
1144,88.431
1145,88.431
1146,88.431
1147,88.431
1148,88.431
1149,88.431
1150,88.431
1151,88.431
1152,88.431
1153,88.431
1154,88.431
1155,88.431
1156,88.431
1157,88.431
1158,88.431
1159,88.431
1160,88.431
1161,88.431
1162,88.431
1163,88.431
1164,88.431
1165,88.431
1166,88.431
1167,88.431
1168,88.431
1169,88.431
1170,88.431
1171,88.431
1172,88.431
1173,88.431
1174,88.431
1175,88.431
1176,88.431
1177,88.431
1178,88.431
1179,91.803
1180,91.803
1181,91.803
1182,91.803
1183,91.803
1184,91.803
1185,91.803
1186,91.803
1187,91.803
1188,91.803
1189,91.803
1190,91.803
1191,91.803
