time_ms,power_w,decoded_label
15009,82.142,14
15109,83.619,0
15209,85.304,1
15309,86.932,2
15409,88.42,3
15509,89.981,4
15609,91.566,5
15709,62.496,6
15809,71.287,7
15909,72.875,8
16009,74.603,9
16109,75.912,10
16209,77.522,11
16309,79.075,12
16409,80.632,13
16509,82.24,14
16609,83.709,0
16709,85.346,1
16809,86.932,2
16909,88.448,3
17009,90.006,4
17109,91.803,5
17209,62.468,6
17309,71.287,7
17409,72.729,8
17509,74.427,9
17609,76.032,10
17709,77.5,11
17809,79.075,12
17909,80.535,13
18009,82.24,14
18109,83.815,0
18209,85.296,1
18309,86.834,2
18409,88.428,3
18509,90.014,4
18609,91.664,5
18709,62.606,7
18809,71.343,8
18909,72.855,9
19009,74.456,10
19109,76.032,11
19209,77.569,12
19309,79.143,13
19409,80.773,14
19509,82.24,0
19609,83.709,1
19709,85.402,2
19809,86.891,3
19909,88.59,4
20009,90.006,5
20109,91.69,6
20209,62.607,7
20309,71.385,8
20409,72.925,9
20509,74.524,10
20609,76.002,11
20709,77.598,12
20809,79.075,13
20909,80.707,14
21009,82.232,0
21109,83.88,1
21209,85.394,2
21309,86.989,3
21409,88.525,4
21509,90.188,5
21609,91.592,6
21709,62.965,7
21809,71.421,8
21909,72.937,9
22009,74.415,10
22109,76.129,11
22209,77.666,12
22309,79.173,13
22409,80.678,14
22509,82.24,0
22609,83.905,1
22709,85.276,2
22809,86.972,3
22909,88.615,4
23009,90.201,5
23109,91.69,6
23209,63.263,7
23309,71.385,8
23409,72.937,9
23509,74.427,10
23609,76.1,11
23709,77.695,12
23809,79.271,13
23909,80.535,13
24009,82.283,14
24109,83.807,0
24209,85.369,1
24309,86.932,2
24409,88.517,3
24509,90.151,4
24609,91.735,5
24709,81.133,14
24809,77.844,0
24909,73.243,1
25009,89.436,2
25109,73.621,3
25209,79.023,4
25309,74.769,5
25409,62.737,6
25509,74.219,7
25609,71.545,8
25709,80.408,14
25809,73.327,0
25909,87.985,1
26009,75.181,2
26109,91.168,3
26209,82.862,4
26309,82.471,5
26409,87.022,6
26509,82.764,14
26609,75.013,0
26709,90.884,1
26809,90.396,2
26909,88.98,3
27009,87.029,4
27109,85.582,5
27209,84.088,6
27309,82.502,14
27409,80.915,14
27509,79.461,13
27609,77.993,12
27709,76.296,11
27809,74.769,6
27909,73.126,7
28009,71.643,8
28109,63.356,0
28209,89.31,1
28309,90.273,2
28409,90.273,3
28509,88.913,4
28609,87.212,5
28709,85.638,6
28809,84.277,0
28909,82.72,1
29009,81.11,2
29109,79.567,3
29209,78.09,4
29309,76.498,5
29409,74.825,6
29509,73.278,7
29609,71.74,8
29709,64.558,6
29809,65.946,7
29909,63.085,7
