time_ms,power_w,decoded_label
16329,90.163,14
16429,91.698,1
16529,62.594,2
16629,71.287,3
16729,72.9,4
16829,74.456,5
16929,76.156,6
17029,77.619,7
17129,79.294,8
17229,79.294,8
17329,80.893,9
17429,83.815,11
17529,85.415,12
17629,86.964,13
17729,88.674,14
17829,90.261,14
17929,91.821,1
18029,62.761,2
18129,71.412,3
18229,72.985,4
18329,74.546,5
18429,76.198,5
18529,77.619,7
18629,79.196,8
18729,80.848,9
18829,82.435,10
18929,84.023,11
19029,85.304,12
19129,87.004,13
19229,88.615,14
19329,90.112,0
19429,91.698,1
19529,81.089,8
19629,77.772,6
19729,73.18,3
19829,89.93,0
19929,73.278,3
20029,79.404,8
20129,74.769,4
20229,62.37,2
20329,74.366,5
20429,71.443,3
20529,80.633,9
20629,73.162,3
20729,88.407,14
20829,74.867,0
20929,91.6,1
21029,82.586,10
21129,82.555,10
21229,87.127,13
21329,82.361,10
21429,74.867,0
21529,91.441,1
21629,90.307,14
21729,90.307,14
21829,88.713,13
21929,87.301,12
22029,84.033,10
22129,82.533,10
22229,80.998,8
22329,79.521,7
22429,77.891,6
22529,76.325,5
22629,74.769,4
22729,73.208,3
22829,71.599,2
22929,62.712,2
23029,91.016,14
23129,90.261,14
23229,88.855,13
23329,87.281,12
23429,85.792,11
23529,84.302,10
23629,82.653,9
23729,81.089,8
23829,79.491,7
23929,77.932,6
24029,76.352,5
24129,74.873,0
24229,73.278,3
24329,71.697,2
24429,62.907,2
24529,63.695,2
24629,62.648,2
24729,62.516,2
24829,62.516,2
24929,62.435,2
