time_ms,power_w
35998,112.018
35999,112.018
36000,112.018
36001,112.018
36002,112.018
36003,112.018
36004,112.018
36005,112.018
36006,112.018
36007,112.018
36008,112.018
36009,112.018
36010,112.018
36011,112.018
36012,112.018
36013,112.018
36014,113.226
36015,113.226
36016,113.226
36017,113.226
36018,113.226
36019,113.226
36020,113.226
36021,113.226
36022,113.226
36023,113.226
36024,113.226
36025,113.226
36026,113.226
36027,113.226
36028,113.226
36029,113.226
36030,113.226
36031,113.226
36032,113.226
36033,113.226
36034,111.41
36035,111.41
36036,111.41
36037,111.41
36038,111.41
36039,111.41
36040,111.41
36041,111.41
36042,111.41
36043,111.41
36044,111.41
36045,111.41
36046,111.41
36047,111.41
36048,111.41
36049,111.41
36050,111.41
36051,111.41
36052,111.41
36053,111.41
36054,109.384
36055,109.384
36056,109.384
36057,109.384
36058,109.384
36059,109.384
36060,109.384
36061,109.384
36062,109.384
36063,109.384
36064,109.384
36065,109.384
36066,109.384
36067,109.384
36068,109.384
36069,109.384
36070,109.384
36071,109.384
36072,109.384
36073,109.384
36074,106.423
36075,106.423
36076,106.423
36077,106.423
36078,106.423
36079,106.423
36080,106.423
36081,106.423
36082,106.423
36083,106.423
36084,106.423
36085,106.423
36086,106.423
36087,106.423
36088,106.423
36089,106.423
36090,106.423
36091,106.423
36092,106.423
36093,106.423
36094,113.498
36095,113.498
36096,113.498
36097,113.498
36098,113.498
36099,113.498
36100,113.498
36101,113.498
36102,113.498
36103,113.498
36104,113.498
36105,113.498
36106,113.498
36107,113.498
36108,113.498
36109,113.498
36110,113.498
36111,113.498
36112,113.498
36113,113.498
36114,112.345
36115,112.345
36116,112.345
36117,112.345
36118,112.345
36119,112.345
36120,112.345
36121,112.345
36122,112.345
36123,112.345
36124,112.345
36125,112.345
36126,112.345
36127,112.345
36128,112.345
36129,112.345
36130,112.345
36131,112.345
36132,112.345
36133,112.345
36134,110.537
36135,110.537
36136,110.537
36137,110.537
36138,110.537
36139,110.537
36140,110.537
36141,110.537
36142,110.537
36143,110.537
36144,110.537
36145,110.537
36146,110.537
36147,110.537
36148,110.537
36149,110.537
36150,110.537
36151,110.537
36152,110.537
36153,110.537
36154,107.576
36155,107.576
36156,107.576
36157,107.576
36158,107.576
36159,107.576
36160,107.576
36161,107.576
36162,107.576
36163,107.576
36164,107.576
