time_ms,power_w
0,44.53
1,44.53
2,44.53
3,44.53
4,44.53
5,44.53
6,44.53
7,44.53
8,44.53
9,44.53
10,44.53
11,44.53
12,44.53
13,44.53
14,44.53
15,44.53
16,44.53
17,44.53
18,44.53
19,44.53
20,44.53
21,44.53
22,44.53
23,44.53
24,44.53
25,44.53
26,44.53
27,44.53
28,44.53
29,44.53
30,44.53
31,44.53
32,44.53
33,44.53
34,44.53
35,44.53
36,44.53
37,44.53
38,44.53
39,44.53
40,44.53
41,44.53
42,44.53
43,44.53
44,44.53
45,44.53
46,44.53
47,44.53
48,44.53
49,44.53
50,44.53
51,44.53
52,44.53
53,44.53
54,44.53
55,44.53
56,44.53
57,44.53
58,44.53
59,44.53
60,44.53
61,44.53
62,44.53
63,44.53
64,44.53
65,44.53
66,44.53
67,44.53
68,44.53
69,44.53
70,44.53
71,44.53
72,44.53
73,44.53
74,44.53
75,44.53
76,44.53
77,44.53
78,44.53
79,44.53
80,44.53
81,44.53
82,44.53
83,44.53
84,44.53
85,44.53
86,44.53
87,44.53
88,44.53
89,44.53
90,44.53
91,44.53
92,44.53
93,44.53
94,44.53
95,44.53
96,44.53
97,44.53
98,44.53
99,44.53
100,44.53
101,44.53
102,44.53
103,44.53
104,44.53
105,44.53
106,44.53
107,44.53
108,44.53
109,44.53
110,44.53
111,44.53
112,44.53
113,44.53
114,44.53
115,44.53
116,44.53
117,44.53
118,44.53
119,44.53
120,44.53
121,44.53
122,44.53
123,44.53
124,44.53
125,44.53
126,44.53
127,44.53
128,44.53
129,44.53
130,44.53
131,44.53
132,44.53
133,44.53
134,44.53
135,44.53
136,44.53
137,44.53
138,44.53
139,44.53
140,44.53
141,44.53
142,44.53
143,44.53
144,44.53
145,44.53
146,44.53
147,44.53
148,44.53
149,44.53
150,44.53
151,44.53
152,44.53
153,44.53
154,44.53
155,44.53
156,44.53
157,44.53
158,44.53
159,44.53
160,44.53
161,44.53
162,44.53
163,44.53
164,44.53
165,44.53
166,44.53
167,44.53
168,44.53
169,44.53
170,44.53
171,44.53
172,44.53
173,44.53
174,44.53
175,44.53
176,44.53
177,44.53
178,44.53
179,44.53
180,44.53
181,44.53
182,44.53
183,44.53
184,44.53
185,44.53
186,44.53
187,44.53
188,44.53
189,44.53
190,44.53
191,44.53
192,44.53
193,44.53
194,44.53
195,44.53
196,44.53
197,44.53
198,44.53
199,44.53
200,44.53
201,44.53
202,44.53
203,44.53
204,44.53
205,44.53
206,44.53
207,44.53
208,44.53
209,44.53
210,44.53
211,44.53
212,44.53
213,44.53
214,44.53
215,44.53
216,44.53
217,44.53
218,44.53
219,44.53
220,44.53
221,44.53
222,44.53
223,44.53
224,44.53
225,44.53
226,44.53
227,44.53
228,44.53
229,44.53
230,44.53
231,44.53
232,44.53
233,44.53
234,44.53
235,44.53
236,44.53
237,44.53
238,44.53
239,44.53
240,44.53
241,44.53
242,44.53
243,44.53
244,44.53
245,44.53
246,44.53
247,44.53
248,44.53
249,44.53
250,44.53
251,44.53
252,44.53
253,44.53
254,44.53
255,44.53
256,44.53
257,44.53
258,44.53
259,44.53
260,44.53
261,44.53
262,44.53
263,44.53
264,44.53
265,44.53
266,44.53
267,44.53
268,44.53
269,44.53
270,44.53
271,44.53
272,44.53
273,44.53
274,44.53
275,44.53
276,44.53
277,44.53
278,44.53
279,44.53
280,44.53
281,44.53
282,44.53
283,44.53
284,44.53
285,44.53
286,44.53
287,44.53
288,44.53
289,44.53
290,44.53
291,44.53
292,44.53
293,44.53
294,44.53
295,44.53
296,44.53
297,44.53
298,44.53
299,44.53
300,44.53
301,44.53
302,44.53
303,44.53
304,44.53
305,44.53
306,44.53
307,44.53
308,44.53
309,44.53
310,44.53
311,44.53
312,44.53
313,44.53
314,44.53
315,44.53
316,44.53
317,44.53
318,44.53
319,44.53
320,44.53
321,44.53
322,44.53
323,44.53
324,44.53
325,44.53
326,44.53
327,44.53
328,44.53
329,44.53
330,44.53
331,44.53
332,44.53
333,44.53
334,44.53
335,44.53
336,44.53
337,44.53
338,44.53
339,44.53
340,44.53
341,44.53
342,44.53
343,44.53
344,44.53
345,44.53
346,44.53
347,44.53
348,44.53
349,44.53
350,44.53
351,44.53
352,44.53
353,44.53
354,44.53
355,44.53
356,44.53
357,44.53
358,44.53
359,44.53
360,44.53
361,44.53
362,44.53
363,44.53
364,44.53
365,44.53
366,44.53
367,44.53
368,44.53
369,44.53
370,44.53
371,44.53
372,44.53
373,44.53
374,44.53
375,44.53
376,44.53
377,44.53
378,44.53
379,44.53
380,44.53
381,44.53
382,44.53
383,44.53
384,44.53
385,44.53
386,44.53
387,44.53
388,44.53
389,44.53
390,44.53
391,44.53
392,44.53
393,44.53
394,44.53
395,44.53
396,44.53
397,44.53
398,44.53
399,44.53
400,44.53
401,44.53
402,44.53
403,44.53
404,44.53
405,44.53
406,44.53
407,44.53
408,44.53
409,44.53
410,44.53
411,44.53
412,44.53
413,44.53
414,44.53
415,44.53
416,44.53
417,44.53
418,44.53
419,44.53
420,44.53
421,44.53
422,44.53
423,44.53
424,44.53
425,44.53
426,44.53
427,44.53
428,44.53
429,44.53
430,44.53
431,44.53
432,44.53
433,44.53
434,44.53
435,44.53
436,44.53
437,44.53
438,44.53
439,44.53
440,44.53
441,44.53
442,44.53
443,44.53
444,44.53
445,44.53
446,44.53
447,44.53
448,44.53
449,44.53
450,44.53
451,44.53
452,44.53
453,44.53
454,44.53
455,44.53
456,44.53
457,44.53
458,44.53
459,44.53
460,44.53
461,44.53
462,44.53
463,44.53
464,44.53
465,44.53
466,44.53
467,44.53
468,44.53
469,44.53
470,44.53
471,44.53
472,44.53
473,44.53
474,44.53
475,44.53
476,44.53
477,44.53
478,44.53
479,44.53
480,44.53
481,44.53
482,44.53
483,44.53
484,44.53
485,44.53
486,44.53
487,44.53
488,44.53
489,44.53
490,44.53
491,44.53
492,44.53
493,44.53
494,44.53
495,44.53
496,44.53
497,44.53
498,44.53
499,44.53
500,44.53
501,44.53
502,44.53
503,44.53
504,44.53
505,44.53
506,44.53
507,44.53
508,44.53
509,44.53
510,44.53
511,44.53
512,44.53
513,44.53
514,44.53
515,44.53
516,44.53
517,44.53
518,44.53
519,44.53
520,44.53
521,44.53
522,44.53
523,44.53
524,44.53
525,44.53
526,44.53
527,44.53
528,44.53
529,44.53
530,44.53
531,44.53
532,44.53
533,44.53
534,44.53
535,44.53
536,44.53
537,44.53
538,44.53
539,44.53
540,44.53
541,44.53
542,44.53
543,44.53
544,44.53
545,44.53
546,44.53
547,44.53
548,44.53
549,44.53
550,44.53
551,44.53
552,44.53
553,44.53
554,44.53
555,44.53
556,44.53
557,44.53
558,44.53
559,44.53
560,44.53
561,44.53
562,44.53
563,44.53
564,44.53
565,44.53
566,44.53
567,44.53
568,44.53
569,44.53
570,44.53
571,44.53
572,44.53
573,44.53
574,44.53
575,44.53
576,44.53
577,44.53
578,44.53
579,44.53
580,44.53
581,44.53
582,44.53
583,44.53
584,44.53
585,44.53
