time_ms,power_w
14998,143.007
14999,140.462
15000,140.462
15001,140.462
15002,140.462
15003,140.462
15004,140.462
15005,140.462
15006,140.462
15007,140.462
15008,140.462
15009,140.462
15010,140.462
15011,140.462
15012,140.462
15013,140.462
15014,140.462
15015,140.462
15016,140.462
15017,140.462
15018,140.462
15019,140.462
15020,125.143
15021,125.143
15022,125.143
15023,125.143
15024,125.143
15025,125.143
15026,125.143
15027,125.143
15028,125.143
15029,125.143
15030,125.143
15031,125.143
15032,125.143
15033,125.143
15034,125.143
15035,125.143
15036,125.143
15037,125.143
15038,125.143
15039,137.357
15040,137.357
15041,137.357
15042,137.357
15043,137.357
15044,137.357
15045,137.357
15046,137.357
15047,137.357
15048,137.357
15049,137.357
15050,137.357
15051,137.357
15052,137.357
15053,137.357
15054,137.357
15055,137.357
15056,137.357
15057,137.357
15058,137.357
15059,145.517
15060,145.517
15061,145.517
15062,145.517
15063,145.517
15064,145.517
15065,145.517
15066,145.517
15067,145.517
15068,145.517
15069,145.517
15070,145.517
15071,145.517
15072,145.517
15073,145.517
15074,145.517
15075,145.517
15076,145.517
15077,145.517
15078,145.517
15079,145.517
15080,141.344
15081,141.344
15082,141.344
15083,141.344
15084,141.344
15085,141.344
15086,141.344
15087,141.344
15088,141.344
15089,141.344
15090,141.344
15091,141.344
15092,141.344
15093,141.344
15094,141.344
15095,141.344
15096,141.344
15097,141.344
15098,141.344
15099,141.344
15100,124.543
15101,124.543
15102,124.543
15103,124.543
15104,124.543
15105,124.543
15106,124.543
15107,124.543
15108,124.543
15109,124.543
15110,124.543
15111,124.543
15112,124.543
15113,124.543
15114,124.543
15115,124.543
15116,124.543
15117,124.543
15118,124.543
15119,124.543
15120,140.653
15121,140.653
15122,140.653
15123,140.653
15124,140.653
15125,140.653
15126,140.653
15127,140.653
15128,140.653
15129,140.653
15130,140.653
15131,140.653
15132,140.653
15133,140.653
15134,140.653
15135,140.653
15136,140.653
15137,140.653
15138,140.653
15139,140.653
15140,147.729
15141,147.729
15142,147.729
15143,147.729
15144,147.729
15145,147.729
15146,147.729
15147,147.729
15148,147.729
15149,147.729
15150,147.729
15151,147.729
15152,147.729
15153,147.729
15154,147.729
15155,147.729
15156,147.729
15157,147.729
15158,147.729
15159,147.729
15160,140.046
15161,140.046
15162,140.046
15163,140.046
15164,140.046
15165,140.046
15166,140.046
15167,140.046
15168,140.046
15169,140.046
15170,140.046
15171,140.046
15172,140.046
15173,140.046
15174,140.046
15175,140.046
15176,140.046
15177,140.046
15178,140.046
15179,140.046
15180,122.934
15181,122.934
15182,122.934
15183,122.934
15184,122.934
15185,122.934
15186,122.934
15187,122.934
15188,122.934
15189,122.934
15190,122.934
15191,122.934
15192,122.934
15193,122.934
15194,122.934
15195,122.934
15196,122.934
15197,122.934
15198,122.934
15199,122.934
15200,140.926
15201,140.926
15202,140.926
15203,140.926
15204,140.926
15205,140.926
15206,140.926
15207,140.926
15208,140.926
15209,140.926
15210,140.926
15211,140.926
15212,140.926
15213,140.926
15214,140.926
15215,140.926
15216,140.926
15217,140.926
15218,140.926
15219,140.926
15220,144.619
15221,144.619
15222,144.619
15223,144.619
15224,144.619
15225,144.619
15226,144.619
15227,144.619
15228,144.619
15229,144.619
15230,144.619
15231,144.619
15232,144.619
15233,144.619
15234,144.619
15235,144.619
15236,144.619
15237,144.619
15238,144.619
15239,144.619
15240,139.173
15241,139.173
15242,139.173
15243,139.173
15244,139.173
15245,139.173
15246,139.173
15247,139.173
15248,139.173
15249,139.173
15250,139.173
15251,139.173
15252,139.173
15253,139.173
15254,139.173
15255,139.173
15256,139.173
15257,139.173
15258,139.173
15259,139.173
15260,121.781
15261,121.781
15262,121.781
15263,121.781
15264,121.781
15265,121.781
15266,121.781
15267,121.781
15268,121.781
15269,121.781
15270,121.781
15271,121.781
15272,121.781
15273,121.781
15274,121.781
15275,121.781
15276,121.781
15277,121.781
15278,121.781
15279,121.781
15280,144.581
15281,144.581
15282,144.581
15283,144.581
15284,144.581
15285,144.581
15286,144.581
15287,144.581
15288,144.581
15289,144.581
15290,144.581
15291,144.581
15292,144.581
15293,144.581
15294,144.581
15295,144.581
15296,144.581
15297,144.581
15298,144.581
15299,144.581
15300,144.581
15301,146.944
15302,146.944
15303,146.944
15304,146.944
15305,146.944
15306,146.944
15307,146.944
15308,146.944
15309,146.944
15310,146.944
15311,146.944
15312,146.944
15313,146.944
15314,146.944
15315,146.944
15316,146.944
15317,146.944
15318,146.944
15319,146.944
15320,146.944
15321,137.826
15322,137.826
15323,137.826
15324,137.826
15325,137.826
15326,137.826
15327,137.826
15328,137.826
15329,137.826
15330,137.826
15331,137.826
15332,137.826
15333,137.826
15334,137.826
15335,137.826
15336,137.826
15337,137.826
15338,137.826
15339,137.826
15340,137.826
15341,121.579
15342,121.579
15343,121.579
15344,121.579
15345,121.579
15346,121.579
15347,121.579
15348,121.579
15349,121.579
15350,121.579
15351,121.579
15352,121.579
15353,121.579
15354,121.579
15355,121.579
15356,121.579
15357,121.579
15358,121.579
15359,121.579
15360,121.579
15361,144.308
15362,144.308
15363,144.308
15364,144.308
15365,144.308
15366,144.308
15367,144.308
15368,144.308
15369,144.308
15370,144.308
15371,144.308
15372,144.308
15373,144.308
15374,144.308
15375,144.308
15376,144.308
15377,144.308
15378,144.308
15379,144.308
15380,144.308
15381,145.517
15382,145.517
15383,145.517
15384,145.517
15385,145.517
