time_ms,power_w
14998,151.545
14999,151.545
15000,151.545
15001,151.545
15002,151.545
15003,151.545
15004,151.545
15005,151.545
15006,151.545
15007,151.545
15008,151.545
15009,151.545
15010,151.545
15011,151.827
15012,151.827
15013,151.827
15014,151.827
15015,151.827
15016,151.827
15017,151.827
15018,151.827
15019,151.827
15020,151.827
15021,151.827
15022,151.827
15023,151.827
15024,151.827
15025,151.827
15026,151.827
15027,151.827
15028,151.827
15029,151.827
15030,151.827
15031,153.153
15032,153.153
15033,153.153
15034,153.153
15035,153.153
15036,153.153
15037,153.153
15038,153.153
15039,153.153
15040,153.153
15041,153.153
15042,153.153
15043,153.153
15044,153.153
15045,153.153
15046,153.153
15047,153.153
15048,153.153
15049,153.153
15050,153.153
15051,154.362
15052,154.362
15053,154.362
15054,154.362
15055,154.362
15056,154.362
15057,154.362
15058,154.362
15059,154.362
15060,154.362
15061,154.362
15062,154.362
15063,154.362
15064,154.362
15065,154.362
15066,154.362
15067,154.362
15068,154.362
15069,154.362
15070,154.362
15071,153.153
15072,153.153
15073,153.153
15074,153.153
15075,153.153
15076,153.153
15077,153.153
15078,153.153
15079,153.153
15080,153.153
15081,153.153
15082,153.153
15083,153.153
15084,153.153
15085,153.153
15086,153.153
15087,153.153
15088,153.153
15089,153.153
15090,153.153
15091,152.428
15092,152.428
15093,152.428
15094,152.428
15095,152.428
15096,152.428
15097,152.428
15098,152.428
15099,152.428
15100,152.428
15101,152.428
15102,152.428
15103,152.428
15104,152.428
15105,152.428
15106,152.428
15107,152.428
15108,152.428
15109,152.428
15110,152.428
15111,153.31
15112,153.31
15113,153.31
15114,153.31
15115,153.31
15116,153.31
15117,153.31
15118,153.31
15119,153.31
15120,153.31
15121,153.31
15122,153.31
15123,153.31
15124,153.31
15125,153.31
15126,153.31
15127,153.31
15128,153.31
15129,153.31
15130,153.31
15131,153.029
15132,153.029
15133,153.029
15134,153.029
15135,153.029
15136,153.029
15137,153.029
15138,153.029
15139,153.029
15140,153.029
15141,153.029
15142,153.029
