time_ms,power_w
35998,160.948
35999,156.842
36000,156.842
36001,156.842
36002,156.842
36003,156.842
36004,156.842
36005,156.842
36006,156.842
36007,156.842
36008,156.842
36009,156.842
36010,156.842
36011,156.842
36012,156.842
36013,156.842
36014,156.842
36015,156.842
36016,156.842
36017,156.842
36018,156.842
36019,149.935
36020,149.935
36021,149.935
36022,149.935
36023,149.935
36024,149.935
36025,149.935
36026,149.935
36027,149.935
36028,149.935
36029,149.935
36030,149.935
36031,149.935
36032,149.935
36033,149.935
36034,149.935
36035,149.935
36036,149.935
36037,149.935
36038,149.935
36039,162.098
36040,162.098
36041,162.098
36042,162.098
36043,162.098
36044,162.098
36045,162.098
36046,162.098
36047,162.098
36048,162.098
36049,162.098
36050,162.098
36051,162.098
36052,162.098
36053,162.098
36054,162.098
36055,162.098
36056,162.098
36057,162.098
36058,162.098
36059,159.19
36060,159.19
36061,159.19
36062,159.19
36063,159.19
36064,159.19
36065,159.19
36066,159.19
36067,159.19
36068,159.19
36069,159.19
36070,159.19
36071,159.19
36072,159.19
36073,159.19
36074,159.19
36075,159.19
36076,159.19
36077,159.19
36078,159.19
36079,152.682
36080,152.682
36081,152.682
36082,152.682
36083,152.682
36084,152.682
36085,152.682
36086,152.682
36087,152.682
36088,152.682
36089,152.682
36090,152.682
36091,152.682
36092,152.682
36093,152.682
36094,152.682
36095,152.682
36096,152.682
36097,152.682
36098,152.682
36099,154.159
36100,154.159
36101,154.159
36102,154.159
36103,154.159
36104,154.159
36105,154.159
36106,154.159
36107,154.159
36108,154.159
36109,154.159
36110,154.159
36111,154.159
36112,154.159
36113,154.159
36114,154.159
36115,154.159
36116,154.159
36117,154.159
36118,154.159
36119,160.069
36120,160.069
36121,160.069
36122,160.069
36123,160.069
36124,160.069
36125,160.069
36126,160.069
36127,160.069
36128,160.069
36129,160.069
36130,160.069
36131,160.069
36132,160.069
36133,160.069
36134,160.069
36135,160.069
36136,160.069
36137,160.069
36138,160.069
36139,155.364
36140,155.364
36141,155.364
36142,155.364
36143,155.364
36144,155.364
36145,155.364
36146,155.364
36147,155.364
36148,155.364
36149,155.364
36150,155.364
36151,155.364
36152,155.364
36153,155.364
36154,155.364
36155,155.364
36156,155.364
36157,155.364
36158,155.364
36159,146.492
36160,146.492
36161,146.492
36162,146.492
36163,146.492
36164,146.492
36165,146.492
36166,146.492
36167,146.492
36168,146.492
36169,146.492
36170,146.492
36171,146.492
36172,146.492
36173,146.492
36174,146.492
36175,146.492
36176,146.492
36177,146.492
36178,146.492
36179,161.713
36180,161.713
36181,161.713
36182,161.713
36183,161.713
36184,161.713
36185,161.713
36186,161.713
36187,161.713
36188,161.713
36189,161.713
36190,161.713
36191,161.713
36192,161.713
36193,161.713
36194,161.713
36195,161.713
36196,161.713
36197,161.713
36198,161.713
36199,157.875
36200,157.875
36201,157.875
36202,157.875
36203,157.875
36204,157.875
36205,157.875
36206,157.875
36207,157.875
36208,157.875
36209,157.875
36210,157.875
36211,157.875
36212,157.875
36213,157.875
36214,157.875
36215,157.875
36216,157.875
36217,157.875
36218,157.875
36219,151.08
36220,151.08
36221,151.08
36222,151.08
36223,151.08
36224,151.08
36225,151.08
36226,151.08
36227,151.08
36228,151.08
36229,151.08
36230,151.08
36231,151.08
36232,151.08
36233,151.08
36234,151.08
36235,151.08
36236,151.08
36237,151.08
36238,151.08
36239,161.22
36240,161.22
36241,161.22
36242,161.22
36243,161.22
36244,161.22
