time_ms,power_w
35998,218.674
35999,218.674
36000,217.643
36001,217.643
36002,217.643
36003,217.643
36004,217.643
36005,217.643
36006,217.643
36007,217.643
36008,217.643
36009,217.643
36010,217.643
36011,217.643
36012,217.643
36013,217.643
36014,217.643
36015,217.643
36016,217.643
36017,217.643
36018,217.32
36019,217.32
36020,217.32
36021,217.32
36022,217.32
36023,217.32
36024,217.32
36025,217.32
36026,217.32
36027,217.32
36028,217.32
36029,217.32
36030,217.32
36031,217.32
36032,217.32
36033,217.32
36034,217.32
36035,217.32
36036,217.32
36037,217.32
36038,217.32
36039,216.665
36040,216.665
36041,216.665
36042,216.665
36043,216.665
36044,216.665
36045,216.665
36046,216.665
36047,216.665
36048,216.665
36049,216.665
36050,216.665
36051,216.665
36052,216.665
36053,216.665
36054,216.665
36055,216.665
36056,216.665
36057,216.665
36058,217.214
36059,217.214
36060,217.214
36061,217.214
36062,217.214
36063,217.214
36064,217.214
36065,217.214
36066,217.214
36067,217.214
36068,217.214
36069,217.214
36070,217.214
36071,217.214
36072,217.214
36073,217.214
36074,217.214
36075,217.214
36076,217.214
36077,217.214
36078,217.32
36079,217.32
36080,217.32
36081,217.32
36082,217.32
36083,217.32
36084,217.32
36085,217.32
36086,217.32
36087,217.32
36088,217.32
36089,217.32
36090,217.32
36091,217.32
36092,217.32
36093,217.32
36094,217.32
36095,217.32
36096,217.32
36097,217.32
36098,217.32
36099,217.32
36100,216.989
36101,216.989
36102,216.989
36103,216.989
36104,216.989
36105,216.989
36106,216.989
36107,216.989
36108,216.989
36109,216.989
36110,216.989
36111,216.989
36112,216.989
36113,216.989
36114,216.989
36115,216.989
36116,216.989
36117,216.989
36118,215.634
36119,215.634
36120,215.634
36121,215.634
36122,215.634
36123,215.634
36124,215.634
36125,215.634
36126,215.634
36127,215.634
36128,215.634
36129,215.634
36130,215.634
36131,215.634
36132,215.634
36133,215.634
36134,215.634
36135,215.634
36136,215.634
36137,215.634
36138,215.634
36139,216.342
36140,216.342
36141,216.342
36142,216.342
36143,216.342
36144,216.342
36145,216.342
36146,216.342
36147,216.342
36148,216.342
36149,216.342
36150,216.342
36151,216.342
36152,216.342
36153,216.342
36154,216.342
36155,216.342
36156,216.342
36157,216.342
36158,216.665
36159,216.665
36160,216.665
36161,216.665
36162,216.665
36163,216.665
36164,216.665
36165,216.665
36166,216.665
36167,216.665
36168,216.665
36169,216.665
36170,216.665
36171,216.665
36172,216.665
36173,216.665
36174,216.665
36175,216.665
36176,216.665
36177,216.665
36178,214.988
36179,214.988
36180,214.988
36181,214.988
36182,214.988
36183,214.988
36184,214.988
36185,214.988
36186,214.988
36187,214.988
36188,214.988
36189,214.988
36190,214.988
36191,214.988
36192,214.988
36193,214.988
36194,214.988
36195,214.988
36196,214.988
36197,214.988
36198,214.988
36199,214.988
36200,214.988
36201,214.988
36202,214.988
36203,214.988
36204,214.988
36205,214.988
36206,214.988
36207,214.988
36208,214.988
36209,214.988
36210,214.988
36211,214.988
36212,214.988
36213,214.988
36214,214.988
36215,214.988
36216,214.988
36217,214.988
36218,214.988
36219,215.634
36220,215.634
36221,215.634
36222,215.634
36223,215.634
36224,215.634
36225,215.634
36226,215.634
36227,215.634
36228,215.634
36229,215.634
36230,215.634
36231,215.634
36232,215.634
36233,215.634
36234,215.634
36235,215.634
36236,215.634
36237,215.634
36238,215.311
36239,215.311
36240,215.311
36241,215.311
36242,215.311
36243,215.311
36244,215.311
36245,215.311
36246,215.311
36247,215.311
36248,215.311
36249,215.311
36250,215.311
36251,215.311
36252,215.311
36253,215.311
36254,215.311
36255,215.311
36256,215.311
36257,215.311
36258,215.535
36259,215.535
36260,215.535
36261,215.535
36262,215.535
36263,215.535
36264,215.535
36265,215.535
36266,215.535
36267,215.535
36268,215.535
36269,215.535
36270,215.535
36271,215.535
36272,215.535
36273,215.535
36274,215.535
36275,215.535
36276,215.535
36277,215.535
36278,215.535
36279,213.31
36280,213.31
36281,213.31
36282,213.31
36283,213.31
36284,213.31
36285,213.31
36286,213.31
36287,213.31
36288,213.31
36289,213.31
36290,213.31
36291,213.31
36292,213.31
36293,213.31
36294,213.31
36295,213.31
36296,213.31
36297,213.31
36298,213.31
36299,213.31
36300,213.633
36301,213.633
36302,213.633
36303,213.633
36304,213.633
36305,213.633
36306,213.633
36307,213.633
36308,213.633
36309,213.633
36310,213.633
36311,213.633
36312,213.633
36313,213.633
36314,213.633
36315,213.633
36316,213.633
36317,213.633
36318,216.019
36319,216.019
36320,216.019
36321,216.019
36322,216.019
36323,216.019
36324,216.019
36325,216.019
36326,216.019
36327,216.019
36328,216.019
36329,216.019
36330,216.019
36331,216.019
36332,216.019
36333,216.019
36334,216.019
36335,216.019
36336,216.019
36337,216.019
36338,216.019
36339,214.665
36340,214.665
36341,214.665
36342,214.665
36343,214.665
36344,214.665
36345,214.665
36346,214.665
36347,214.665
36348,214.665
36349,214.665
36350,214.665
36351,214.665
36352,214.665
36353,214.665
36354,214.665
36355,214.665
36356,214.665
36357,214.665
36358,211.625
36359,211.625
36360,211.625
36361,211.625
36362,211.625
36363,211.625
36364,211.625
36365,211.625
36366,211.625
36367,211.625
36368,211.625
36369,211.625
36370,211.625
36371,211.625
36372,211.625
36373,211.625
36374,211.625
36375,211.625
36376,211.625
36377,211.625
36378,211.625
36379,211.625
36380,211.625
36381,211.625
36382,211.625
36383,211.625
36384,211.625
36385,211.625
36386,211.625
36387,211.625
36388,211.625
36389,211.625
36390,211.625
36391,211.625
36392,211.625
36393,211.625
36394,211.625
36395,211.625
36396,211.625
36397,211.625
36398,211.625
36399,211.625
36400,211.521
36401,211.521
36402,211.521
36403,211.521
36404,211.521
36405,211.521
36406,211.521
36407,211.521
36408,211.521
36409,211.521
36410,211.521
36411,211.521
36412,211.521
36413,211.521
36414,211.521
36415,211.521
36416,211.521
36417,211.521
36418,211.521
36419,212.656
36420,212.656
36421,212.656
36422,212.656
36423,212.656
36424,212.656
36425,212.656
36426,212.656
36427,212.656
36428,212.656
36429,212.656
36430,212.656
36431,212.656
36432,212.656
36433,212.656
36434,212.656
36435,212.656
36436,212.656
36437,212.656
36438,212.656
36439,211.625
36440,211.625
36441,211.625
36442,211.625
36443,211.625
36444,211.625
36445,211.625
36446,211.625
36447,211.625
36448,211.625
36449,211.625
36450,211.625
36451,211.625
36452,211.625
36453,211.625
36454,211.625
36455,211.625
36456,211.625
36457,211.625
36458,215.311
36459,215.311
36460,215.311
36461,215.311
36462,215.311
36463,215.311
36464,215.311
36465,215.311
36466,215.311
36467,215.311
36468,215.311
36469,215.311
36470,215.311
36471,215.311
36472,215.311
36473,215.311
36474,215.311
36475,215.311
36476,215.311
36477,215.311
36478,218.343
36479,218.343
36480,218.343
36481,218.343
36482,218.343
36483,218.343
36484,218.343
36485,218.343
36486,218.343
36487,218.343
36488,218.343
36489,218.343
36490,218.343
36491,218.343
36492,218.343
36493,218.343
36494,218.343
36495,218.343
36496,218.343
36497,218.343
36498,218.343
36499,218.343
36500,218.02
36501,218.02
36502,218.02
36503,218.02
36504,218.02
36505,218.02
36506,218.02
36507,218.02
36508,218.02
36509,218.02
36510,218.02
36511,218.02
36512,218.02
36513,218.02
36514,218.02
36515,218.02
36516,218.02
36517,218.02
36518,217.869
36519,217.869
36520,217.869
36521,217.869
36522,217.869
36523,217.869
36524,217.869
36525,217.869
36526,217.869
36527,217.869
36528,217.869
36529,217.869
36530,217.869
36531,217.869
36532,217.869
36533,217.869
36534,217.869
36535,217.869
36536,217.869
36537,217.869
36538,217.869
36539,218.02
36540,218.02
36541,218.02
36542,218.02
36543,218.02
36544,218.02
36545,218.02
36546,218.02
36547,218.02
36548,218.02
36549,218.02
36550,218.02
36551,218.02
36552,218.02
36553,218.02
36554,218.02
36555,218.02
36556,218.02
36557,218.02
36558,218.02
36559,216.342
36560,216.342
36561,216.342
36562,216.342
36563,216.342
36564,216.342
36565,216.342
36566,216.342
36567,216.342
36568,216.342
36569,216.342
36570,216.342
36571,216.342
36572,216.342
36573,216.342
36574,216.342
36575,216.342
36576,216.342
36577,216.342
36578,218.02
36579,218.02
36580,218.02
36581,218.02
36582,218.02
36583,218.02
36584,218.02
36585,218.02
36586,218.02
36587,218.02
36588,218.02
36589,218.02
36590,218.02
36591,218.02
36592,218.02
