time_ms,power_w
35998,345.091
35999,345.091
36000,339.41
36001,339.41
36002,339.41
36003,339.41
36004,339.41
36005,339.41
36006,339.41
36007,339.41
36008,339.41
36009,339.41
36010,339.41
36011,339.41
36012,339.41
36013,339.41
36014,339.41
36015,339.41
36016,339.41
36017,339.41
36018,339.41
36019,339.41
36020,332.698
36021,332.698
36022,332.698
36023,332.698
36024,332.698
36025,332.698
36026,332.698
36027,332.698
36028,332.698
36029,332.698
36030,332.698
36031,332.698
36032,332.698
36033,332.698
36034,332.698
36035,332.698
36036,332.698
36037,332.698
36038,332.698
36039,332.698
36040,347.098
36041,347.098
36042,347.098
36043,347.098
36044,347.098
36045,347.098
36046,347.098
36047,347.098
36048,347.098
36049,347.098
36050,347.098
36051,347.098
36052,347.098
36053,347.098
36054,347.098
36055,347.098
36056,347.098
36057,347.098
36058,347.098
36059,347.098
36060,336.058
36061,336.058
36062,336.058
36063,336.058
36064,336.058
36065,336.058
36066,336.058
36067,336.058
36068,336.058
36069,336.058
36070,336.058
36071,336.058
36072,336.058
36073,336.058
36074,336.058
36075,336.058
36076,336.058
36077,336.058
36078,336.058
36079,336.058
36080,336.058
36081,336.058
36082,336.757
36083,336.757
36084,336.757
36085,336.757
36086,336.757
36087,336.757
36088,336.757
36089,336.757
36090,336.757
36091,336.757
36092,336.757
36093,336.757
36094,336.757
36095,336.757
36096,336.757
36097,336.757
36098,336.757
36099,336.757
36100,343.792
36101,343.792
36102,343.792
36103,343.792
36104,343.792
36105,343.792
36106,343.792
36107,343.792
36108,343.792
36109,343.792
36110,343.792
36111,343.792
36112,343.792
36113,343.792
36114,343.792
36115,343.792
36116,343.792
36117,343.792
36118,343.792
36119,343.792
36120,336.757
36121,336.757
36122,336.757
36123,336.757
36124,336.757
36125,336.757
36126,336.757
36127,336.757
36128,336.757
36129,336.757
36130,336.757
36131,336.757
36132,336.757
36133,336.757
36134,336.757
36135,336.757
36136,336.757
36137,336.757
36138,336.757
36139,336.757
36140,331.345
36141,331.345
36142,331.345
36143,331.345
36144,331.345
36145,331.345
36146,331.345
36147,331.345
36148,331.345
36149,331.345
36150,331.345
36151,331.345
36152,331.345
36153,331.345
36154,331.345
36155,331.345
36156,331.345
36157,331.345
36158,331.345
36159,331.345
36160,342.116
36161,342.116
36162,342.116
36163,342.116
36164,342.116
36165,342.116
36166,342.116
36167,342.116
36168,342.116
36169,342.116
36170,342.116
36171,342.116
36172,342.116
36173,342.116
36174,342.116
36175,342.116
36176,342.116
36177,342.116
36178,342.116
36179,342.116
36180,342.116
36181,342.116
36182,348.128
36183,348.128
36184,348.128
36185,348.128
36186,348.128
36187,348.128
36188,348.128
36189,348.128
36190,348.128
36191,348.128
36192,348.128
36193,348.128
36194,348.128
36195,348.128
36196,348.128
36197,348.128
36198,348.128
36199,348.128
36200,332.698
36201,332.698
36202,332.698
36203,332.698
36204,332.698
36205,332.698
36206,332.698
36207,332.698
36208,332.698
36209,332.698
36210,332.698
36211,332.698
36212,332.698
36213,332.698
36214,332.698
36215,332.698
36216,332.698
36217,332.698
36218,332.698
36219,332.698
36220,346.775
36221,346.775
36222,346.775
36223,346.775
36224,346.775
36225,346.775
36226,346.775
36227,346.775
36228,346.775
36229,346.775
36230,346.775
36231,346.775
36232,346.775
36233,346.775
36234,346.775
36235,346.775
36236,346.775
36237,346.775
36238,346.775
36239,346.775
36240,347.475
36241,347.475
36242,347.475
36243,347.475
36244,347.475
36245,347.475
36246,347.475
36247,347.475
36248,347.475
36249,347.475
36250,347.475
36251,347.475
36252,347.475
36253,347.475
36254,347.475
36255,347.475
36256,347.475
36257,347.475
36258,347.475
36259,347.475
36260,328.047
36261,328.047
36262,328.047
36263,328.047
36264,328.047
36265,328.047
36266,328.047
36267,328.047
36268,328.047
36269,328.047
36270,328.047
36271,328.047
36272,328.047
36273,328.047
36274,328.047
36275,328.047
36276,328.047
36277,328.047
36278,328.047
36279,328.047
36280,328.047
36281,328.047
36282,344.123
36283,344.123
36284,344.123
36285,344.123
36286,344.123
36287,344.123
36288,344.123
36289,344.123
36290,344.123
36291,344.123
36292,344.123
36293,344.123
36294,344.123
36295,344.123
36296,344.123
36297,344.123
36298,344.123
36299,344.123
36300,353.156
36301,353.156
36302,353.156
36303,353.156
36304,353.156
36305,353.156
36306,353.156
36307,353.156
36308,353.156
36309,353.156
36310,353.156
36311,353.156
36312,353.156
36313,353.156
36314,353.156
36315,353.156
36316,353.156
36317,353.156
36318,353.156
36319,353.156
36320,325.01
36321,325.01
36322,325.01
36323,325.01
36324,325.01
36325,325.01
36326,325.01
36327,325.01
36328,325.01
36329,325.01
36330,325.01
36331,325.01
36332,325.01
36333,325.01
36334,325.01
36335,325.01
36336,325.01
36337,325.01
36338,325.01
36339,325.01
36340,339.733
36341,339.733
36342,339.733
36343,339.733
36344,339.733
36345,339.733
36346,339.733
36347,339.733
36348,339.733
36349,339.733
36350,339.733
36351,339.733
36352,339.733
36353,339.733
36354,339.733
36355,339.733
36356,339.733
36357,339.733
36358,339.733
36359,339.733
36360,350.45
36361,350.45
36362,350.45
36363,350.45
36364,350.45
36365,350.45
36366,350.45
36367,350.45
36368,350.45
36369,350.45
36370,350.45
36371,350.45
36372,350.45
36373,350.45
36374,350.45
36375,350.45
36376,350.45
36377,350.45
36378,350.45
36379,350.45
36380,350.45
36381,350.45
36382,325.01
36383,325.01
36384,325.01
36385,325.01
36386,325.01
36387,325.01
36388,325.01
36389,325.01
36390,325.01
36391,325.01
36392,325.01
36393,325.01
36394,325.01
36395,325.01
36396,325.01
36397,325.01
36398,325.01
36399,325.01
36400,338.764
36401,338.764
36402,338.764
36403,338.764
36404,338.764
36405,338.764
36406,338.764
36407,338.764
36408,338.764
36409,338.764
36410,338.764
36411,338.764
36412,338.764
36413,338.764
36414,338.764
36415,338.764
36416,338.764
36417,338.764
36418,338.764
36419,338.764
36420,350.45
36421,350.45
36422,350.45
36423,350.45
36424,350.45
36425,350.45
36426,350.45
36427,350.45
36428,350.45
36429,350.45
36430,350.45
36431,350.45
36432,350.45
36433,350.45
36434,350.45
36435,350.45
36436,350.45
36437,350.45
36438,350.45
36439,350.45
36440,331.022
36441,331.022
36442,331.022
36443,331.022
36444,331.022
36445,331.022
36446,331.022
36447,331.022
36448,331.022
36449,331.022
36450,331.022
36451,331.022
36452,331.022
36453,331.022
36454,331.022
36455,331.022
36456,331.022
36457,331.022
36458,331.022
36459,331.022
36460,344.123
36461,344.123
36462,344.123
36463,344.123
36464,344.123
36465,344.123
36466,344.123
36467,344.123
36468,344.123
36469,344.123
36470,344.123
36471,344.123
36472,344.123
36473,344.123
36474,344.123
36475,344.123
36476,344.123
36477,344.123
36478,344.123
36479,344.123
36480,344.123
36481,344.123
36482,352.833
36483,352.833
36484,352.833
36485,352.833
36486,352.833
36487,352.833
36488,352.833
36489,352.833
36490,352.833
36491,352.833
36492,352.833
36493,352.833
36494,352.833
36495,352.833
36496,352.833
36497,352.833
36498,352.833
36499,352.833
36500,328.37
36501,328.37
36502,328.37
36503,328.37
36504,328.37
36505,328.37
36506,328.37
36507,328.37
36508,328.37
36509,328.37
36510,328.37
36511,328.37
36512,328.37
36513,328.37
36514,328.37
36515,328.37
36516,328.37
36517,328.37
36518,328.37
36519,328.37
36520,341.416
36521,341.416
36522,341.416
36523,341.416
36524,341.416
36525,341.416
36526,341.416
36527,341.416
36528,341.416
36529,341.416
36530,341.416
36531,341.416
36532,341.416
36533,341.416
36534,341.416
36535,341.416
36536,341.416
36537,341.416
36538,341.416
36539,341.416
36540,350.127
36541,350.127
36542,350.127
36543,350.127
36544,350.127
36545,350.127
36546,350.127
36547,350.127
36548,350.127
36549,350.127
36550,350.127
36551,350.127
36552,350.127
36553,350.127
36554,350.127
36555,350.127
36556,350.127
36557,350.127
36558,350.127
36559,350.127
36560,325.01
36561,325.01
36562,325.01
36563,325.01
36564,325.01
36565,325.01
36566,325.01
36567,325.01
36568,325.01
36569,325.01
36570,325.01
36571,325.01
36572,325.01
36573,325.01
36574,325.01
36575,325.01
36576,325.01
36577,325.01
36578,325.01
36579,325.01
36580,325.01
36581,325.01
36582,338.38
36583,338.38
36584,338.38
36585,338.38
36586,338.38
36587,338.38
36588,338.38
36589,338.38
36590,338.38
36591,338.38
36592,338.38
36593,338.38
36594,338.38
36595,338.38
36596,338.38
36597,338.38
36598,338.38
36599,338.38
36600,347.098
36601,347.098
36602,347.098
36603,347.098
36604,347.098
36605,347.098
36606,347.098
36607,347.098
36608,347.098
36609,347.098
36610,347.098
36611,347.098
36612,347.098
36613,347.098
36614,347.098
36615,347.098
36616,347.098
36617,347.098
36618,347.098
36619,347.098
36620,328.047
36621,328.047
36622,328.047
36623,328.047
36624,328.047
36625,328.047
36626,328.047
36627,328.047
36628,328.047
36629,328.047
36630,328.047
36631,328.047
36632,328.047
36633,328.047
36634,328.047
36635,328.047
36636,328.047
36637,328.047
36638,328.047
36639,328.047
36640,341.086
36641,341.086
36642,341.086
36643,341.086
36644,341.086
36645,341.086
36646,341.086
36647,341.086
36648,341.086
36649,341.086
36650,341.086
36651,341.086
36652,341.086
36653,341.086
36654,341.086
36655,341.086
36656,341.086
36657,341.086
36658,341.086
36659,341.086
36660,351.803
36661,351.803
36662,351.803
36663,351.803
36664,351.803
36665,351.803
36666,351.803
36667,351.803
36668,351.803
36669,351.803
36670,351.803
36671,351.803
36672,351.803
36673,351.803
36674,351.803
36675,351.803
36676,351.803
36677,351.803
36678,351.803
36679,351.803
36680,351.803
36681,351.803
36682,331.722
36683,331.722
36684,331.722
36685,331.722
36686,331.722
36687,331.722
36688,331.722
36689,331.722
36690,331.722
36691,331.722
36692,331.722
36693,331.722
36694,331.722
36695,331.722
36696,331.722
36697,331.722
36698,331.722
36699,331.722
36700,335.727
36701,335.727
36702,335.727
36703,335.727
36704,335.727
36705,335.727
36706,335.727
36707,335.727
36708,335.727
36709,335.727
36710,335.727
36711,335.727
36712,335.727
36713,335.727
36714,335.727
36715,335.727
36716,335.727
36717,335.727
36718,335.727
36719,335.727
36720,335.727
36721,346.121
36722,346.121
36723,346.121
36724,346.121
36725,346.121
36726,346.121
36727,346.121
36728,346.121
36729,346.121
36730,346.121
36731,346.121
36732,346.121
36733,346.121
36734,346.121
36735,346.121
36736,346.121
36737,346.121
36738,346.121
36739,346.121
36740,330.369
36741,330.369
36742,330.369
36743,330.369
36744,330.369
36745,330.369
36746,330.369
36747,330.369
36748,330.369
36749,330.369
36750,330.369
36751,330.369
36752,330.369
36753,330.369
36754,330.369
36755,330.369
36756,330.369
36757,330.369
36758,330.369
36759,330.369
36760,335.404
36761,335.404
36762,335.404
36763,335.404
36764,335.404
36765,335.404
36766,335.404
36767,335.404
36768,335.404
36769,335.404
36770,335.404
36771,335.404
36772,335.404
36773,335.404
36774,335.404
36775,335.404
36776,335.404
36777,335.404
36778,335.404
36779,335.404
36780,335.404
36781,335.404
36782,345.091
36783,345.091
36784,345.091
36785,345.091
36786,345.091
36787,345.091
36788,345.091
36789,345.091
36790,345.091
36791,345.091
36792,345.091
36793,345.091
36794,345.091
36795,345.091
36796,345.091
36797,345.091
36798,345.091
36799,345.091
36800,338.057
36801,338.057
36802,338.057
36803,338.057
36804,338.057
36805,338.057
36806,338.057
36807,338.057
36808,338.057
36809,338.057
36810,338.057
36811,338.057
36812,338.057
36813,338.057
36814,338.057
36815,338.057
36816,338.057
36817,338.057
36818,338.057
36819,338.057
36820,331.022
36821,331.022
36822,331.022
36823,331.022
36824,331.022
36825,331.022
36826,331.022
36827,331.022
36828,331.022
36829,331.022
36830,331.022
36831,331.022
36832,331.022
36833,331.022
36834,331.022
36835,331.022
36836,331.022
36837,331.022
36838,331.022
36839,331.022
36840,345.422
36841,345.422
36842,345.422
36843,345.422
36844,345.422
36845,345.422
36846,345.422
36847,345.422
