time_ms,power_w
0,75.035
1,75.035
2,75.035
3,75.035
4,75.035
5,75.035
6,75.035
7,75.035
8,75.035
9,75.035
10,75.035
11,75.035
12,75.035
13,75.035
14,75.035
15,75.035
16,75.035
17,75.035
18,75.035
19,75.035
20,72.669
21,72.669
22,72.669
23,72.669
24,72.669
25,72.669
26,72.669
27,72.669
28,72.669
29,72.669
30,72.669
31,72.669
32,72.669
33,72.669
34,72.669
35,72.669
36,72.669
37,72.669
38,72.669
39,72.669
40,72.06
41,72.06
42,72.06
43,72.06
44,72.06
45,72.06
46,72.06
47,72.06
48,72.06
49,72.06
50,72.06
51,72.06
52,72.06
53,72.06
54,72.06
55,72.06
56,72.06
57,72.06
58,72.06
59,72.06
60,72.06
61,72.06
62,72.06
63,72.06
64,72.06
65,72.06
66,72.06
67,72.06
68,72.06
69,72.06
70,72.06
71,72.06
72,72.06
73,72.06
74,72.06
75,72.06
76,72.06
77,72.06
78,72.06
79,72.06
80,72.06
81,72.06
82,72.06
83,72.06
84,72.06
85,72.06
86,72.06
87,72.06
88,72.06
89,72.06
90,72.06
91,72.06
92,72.06
93,72.06
94,72.06
95,72.06
96,72.06
97,72.06
98,72.06
99,72.06
100,72.06
101,72.341
102,72.341
103,72.341
104,72.341
105,72.341
106,72.341
107,72.341
108,72.341
109,72.341
110,72.341
111,72.341
112,72.341
113,72.341
114,72.341
115,72.341
116,72.341
117,72.341
118,72.341
119,72.341
120,72.341
121,72.341
122,72.341
123,72.341
124,72.341
125,72.341
126,72.341
127,72.341
128,72.341
129,72.341
130,72.341
131,72.341
132,72.341
133,72.341
134,72.341
135,72.341
136,72.341
137,72.341
138,72.341
139,72.341
140,72.341
141,72.06
142,72.06
143,72.06
144,72.06
145,72.06
146,72.06
147,72.06
148,72.06
149,72.06
150,72.06
151,72.06
152,72.06
153,72.06
154,72.06
155,72.06
156,72.06
157,72.06
158,72.06
159,72.06
160,72.06
161,72.06
162,72.06
163,72.06
164,72.06
165,72.06
166,72.06
167,72.06
168,72.06
169,72.06
170,72.06
171,72.06
172,72.06
173,72.06
174,72.06
175,72.06
176,72.06
177,72.06
178,72.06
179,72.06
180,72.06
181,72.06
182,72.06
183,72.06
184,72.06
185,72.06
186,72.06
187,72.06
188,72.06
189,72.06
190,72.06
191,72.06
192,72.06
193,72.06
194,72.06
195,72.06
196,72.06
197,72.06
198,72.06
199,72.06
200,72.06
201,72.06
202,72.06
203,72.06
204,72.06
205,72.06
206,72.06
207,72.06
208,72.06
209,72.06
210,72.06
211,72.06
212,72.06
213,72.06
214,72.06
215,72.06
216,72.06
217,72.06
218,72.06
219,72.06
220,72.06
221,72.06
222,72.06
223,72.06
224,72.06
225,72.06
226,72.06
227,72.06
228,72.06
229,72.06
230,72.06
231,72.06
232,72.06
233,72.06
234,72.06
235,72.06
236,72.06
237,72.06
238,72.06
239,72.06
240,72.06
241,71.787
242,71.787
243,71.787
244,71.787
245,71.787
246,71.787
247,71.787
248,71.787
249,71.787
250,71.787
251,71.787
252,71.787
253,71.787
254,71.787
255,71.787
256,71.787
257,71.787
258,71.787
259,71.787
260,71.787
261,71.787
262,71.787
263,71.787
264,71.787
265,71.787
266,71.787
267,71.787
268,71.787
269,71.787
270,71.787
271,71.787
272,71.787
273,71.787
274,71.787
275,71.787
276,71.787
277,71.787
278,71.787
279,71.787
280,71.787
281,71.787
282,71.459
283,71.459
284,71.459
285,71.459
286,71.459
287,71.459
288,71.459
289,71.459
