time_ms,power_w
0,74.153
1,74.153
2,74.153
3,74.153
4,74.153
5,74.153
6,74.153
7,74.153
8,74.153
9,74.153
10,74.153
11,74.153
12,74.153
13,74.153
14,74.153
15,74.153
16,74.153
17,74.153
18,74.153
19,74.153
20,74.153
21,70.303
22,70.303
23,70.303
24,70.303
25,70.303
26,70.303
27,70.303
28,70.303
29,70.303
30,70.303
31,70.303
32,70.303
33,70.303
34,70.303
35,70.303
36,70.303
37,70.303
38,70.303
39,70.303
40,70.303
41,69.429
42,69.429
43,69.429
44,69.429
45,69.429
46,69.429
47,69.429
48,69.429
49,69.429
50,69.429
51,69.429
52,69.429
53,69.429
54,69.429
55,69.429
56,69.429
57,69.429
58,69.429
59,69.429
60,69.773
61,69.773
62,69.773
63,69.773
64,69.773
65,69.773
66,69.773
67,69.773
68,69.773
69,69.773
70,69.773
71,69.773
72,69.773
73,69.773
74,69.773
75,69.773
76,69.773
77,69.773
78,69.773
79,69.773
80,69.773
81,69.5
82,69.5
83,69.5
84,69.5
85,69.5
86,69.5
87,69.5
88,69.5
89,69.5
90,69.5
91,69.5
92,69.5
93,69.5
94,69.5
95,69.5
96,69.5
97,69.5
98,69.5
99,69.5
100,69.5
101,69.429
102,69.429
103,69.429
104,69.429
105,69.429
106,69.429
107,69.429
108,69.429
109,69.429
110,69.429
111,69.429
112,69.429
113,69.429
114,69.429
115,69.429
116,69.429
117,69.429
118,69.429
119,69.429
120,69.429
121,69.5
122,69.5
123,69.5
124,69.5
125,69.5
126,69.5
127,69.5
128,69.5
129,69.5
130,69.5
131,69.5
132,69.5
133,69.5
134,69.5
135,69.5
136,69.5
137,69.5
138,69.5
139,69.5
140,69.5
141,69.429
142,69.429
143,69.429
144,69.429
145,69.429
146,69.429
147,69.429
148,69.429
149,69.429
150,69.429
151,69.429
152,69.429
153,69.429
154,69.429
155,69.429
156,69.429
157,69.429
158,69.429
159,69.429
160,69.429
161,69.702
162,69.702
163,69.702
164,69.702
165,69.702
166,69.702
167,69.702
168,69.702
169,69.702
170,69.702
171,69.702
172,69.702
173,69.702
174,69.702
175,69.702
176,69.702
177,69.702
178,69.702
179,69.702
180,69.702
181,69.429
182,69.429
183,69.429
184,69.429
185,69.429
186,69.429
187,69.429
188,69.429
189,69.429
190,69.429
191,69.429
192,69.429
193,69.429
194,69.429
195,69.429
196,69.429
197,69.429
198,69.429
199,69.429
200,69.429
201,69.429
202,69.429
203,69.429
204,69.429
205,69.429
206,69.429
207,69.429
208,69.429
209,69.429
210,69.429
211,69.429
212,69.429
213,69.429
214,69.429
215,69.429
216,69.429
217,69.429
218,69.429
219,69.429
220,69.429
221,69.429
222,69.429
223,69.429
224,69.429
225,69.429
226,69.429
227,69.429
228,69.429
229,69.429
230,69.429
231,69.429
232,69.429
233,69.429
234,69.429
235,69.429
236,69.429
237,69.429
238,69.429
239,69.429
240,69.429
241,69.429
242,69.429
243,69.429
244,69.429
245,69.429
246,69.429
247,69.429
248,69.429
249,69.429
250,69.429
251,69.429
252,69.429
253,69.429
254,69.429
255,69.429
256,69.429
257,69.429
258,69.429
259,69.429
260,69.429
261,69.773
262,69.773
263,69.773
264,69.773
265,69.773
266,69.773
267,69.773
268,69.773
269,69.773
270,69.773
271,69.773
272,69.773
273,69.773
274,69.773
275,69.773
276,69.773
277,69.773
278,69.773
279,69.773
280,69.773
281,69.429
282,69.429
283,69.429
284,69.429
285,69.429
286,69.429
287,69.429
288,69.429
289,69.429
290,69.429
291,69.429
292,69.429
293,69.429
294,69.429
295,69.429
296,69.429
297,69.429
298,69.429
299,69.429
300,69.429
301,69.429
302,69.429
303,69.429
304,69.429
305,69.429
306,69.429
307,69.429
308,69.429
309,69.429
310,69.429
311,69.429
312,69.429
313,69.429
314,69.429
315,69.429
316,69.429
317,69.429
318,69.429
319,69.429
320,69.429
321,69.429
322,69.164
323,69.164
324,69.164
325,69.164
326,69.164
327,69.164
328,69.164
329,69.164
330,69.164
331,69.164
332,69.164
333,69.164
334,69.164
335,69.164
336,69.164
337,69.164
338,69.164
339,69.164
340,69.164
341,69.164
342,69.164
343,69.164
344,69.164
345,69.164
346,69.164
347,69.164
348,69.164
349,69.164
350,69.164
351,69.164
352,69.164
353,69.164
354,69.164
355,69.164
356,69.164
357,69.164
358,69.164
359,69.164
360,69.164
361,69.164
362,69.164
363,67.679
364,67.679
365,67.679
366,67.679
367,67.679
368,67.679
369,67.679
370,67.679
371,67.679
372,67.679
373,67.679
374,67.679
375,67.679
376,67.679
377,67.679
378,67.679
379,67.679
380,67.679
381,67.679
382,56.783
383,56.783
384,56.783
385,56.783
386,56.783
387,56.783
388,56.783
389,56.783
390,56.783
391,56.783
392,56.783
393,56.783
394,56.783
395,56.783
396,56.783
397,56.783
398,56.783
399,56.783
400,56.783
401,56.783
402,54.087
403,54.087
404,54.087
405,54.087
406,54.087
407,54.087
408,54.087
409,54.087
410,54.087
411,54.087
412,54.087
413,54.087
414,54.087
415,54.087
416,54.087
417,54.087
418,54.087
419,54.087
420,54.087
421,54.087
422,53.813
423,53.813
424,53.813
425,53.813
426,53.813
427,53.813
428,53.813
429,53.813
430,53.813
431,53.813
432,53.813
433,53.813
434,53.813
435,53.813
436,53.813
437,53.813
438,53.813
439,53.813
440,53.813
441,53.813
442,53.485
443,53.485
444,53.485
445,53.485
446,53.485
447,53.485
448,53.485
449,53.485
450,53.485
451,53.485
452,53.485
453,53.485
454,53.485
455,53.485
456,53.485
457,53.485
458,53.485
459,53.485
460,53.485
461,53.485
462,53.813
463,53.813
464,53.813
465,53.813
466,53.813
467,53.813
468,53.813
469,53.813
470,53.813
471,53.813
472,53.813
473,53.813
474,53.813
475,53.813
476,53.813
477,53.813
478,53.813
479,53.813
480,53.813
481,53.813
482,53.485
483,53.485
484,53.485
485,53.485
486,53.485
487,53.485
488,53.485
489,53.485
490,53.485
491,53.485
492,53.485
493,53.485
494,53.485
495,53.485
496,53.485
497,53.485
498,53.485
499,53.485
500,53.485
501,53.485
502,53.485
503,53.485
504,53.485
505,53.485
506,53.485
507,53.485
508,53.485
509,53.485
510,53.485
511,53.485
512,53.485
513,53.485
514,53.485
515,53.485
516,53.485
517,53.485
518,53.485
519,53.485
520,53.485
521,53.485
522,53.485
523,53.485
524,53.485
525,53.485
526,53.485
527,53.485
528,53.485
529,53.485
530,53.485
531,53.485
532,53.485
533,53.485
534,53.485
535,53.485
536,53.485
537,53.485
538,53.485
539,53.485
540,53.485
541,53.485
542,53.485
543,53.211
544,53.211
545,53.211
546,53.211
547,53.211
548,53.211
549,53.211
550,53.211
551,53.211
552,53.211
553,53.211
554,53.211
555,53.211
556,53.211
557,53.211
558,53.211
559,53.211
560,53.211
561,53.211
562,53.211
563,53.211
564,53.211
565,53.211
566,53.211
567,53.211
568,53.211
569,53.211
570,53.211
571,53.211
572,53.211
573,53.211
574,53.211
575,53.211
576,53.211
577,53.211
578,53.211
579,53.211
580,53.211
581,53.211
582,53.211
583,53.211
584,53.211
585,53.211
586,53.211
587,53.211
588,53.211
589,53.211
590,53.211
591,53.211
592,53.211
593,53.211
594,53.211
595,53.211
596,53.211
597,53.211
598,53.211
599,53.211
600,53.211
601,53.211
602,53.211
603,53.211
604,53.211
605,53.211
606,53.211
607,53.211
608,53.211
609,53.211
610,53.211
611,53.211
612,53.211
613,53.211
614,53.211
615,53.211
616,53.211
617,53.211
618,53.211
619,53.211
620,53.211
621,53.211
622,53.211
623,53.157
624,53.157
625,53.157
626,53.157
627,53.157
628,53.157
629,53.157
630,53.157
631,53.157
632,53.157
633,53.157
634,53.157
635,53.157
636,53.157
637,53.157
638,53.157
639,53.157
640,53.157
641,53.157
642,53.157
643,53.157
644,53.157
645,53.157
646,53.157
647,53.157
648,53.157
649,53.157
650,53.157
651,53.157
652,53.157
653,53.157
654,53.157
655,53.157
656,53.157
657,53.157
658,53.157
659,53.157
660,53.157
661,53.157
662,53.157
663,53.157
664,53.157
665,53.157
666,53.157
667,53.157
668,53.157
669,53.157
670,53.157
671,53.157
672,53.157
673,53.157
674,53.157
675,53.157
676,53.157
677,53.157
678,53.157
679,53.157
680,53.157
681,53.157
682,53.157
683,53.157
684,53.157
685,53.157
686,53.157
687,53.157
688,53.157
689,53.157
690,53.157
691,53.157
692,53.157
693,53.157
694,53.157
695,53.157
696,53.157
697,53.157
698,53.157
699,53.157
700,53.157
701,53.157
702,53.157
703,53.157
704,52.884
705,52.884
706,52.884
707,52.884
708,52.884
709,52.884
710,52.884
711,52.884
712,52.884
713,52.884
714,52.884
715,52.884
716,52.884
717,52.884
718,52.884
719,52.884
720,52.884
721,52.884
722,52.884
723,52.884
724,54.367
725,54.367
726,54.367
727,54.367
728,54.367
729,54.367
730,54.367
731,54.367
732,54.367
733,54.367
734,54.367
735,54.367
736,54.367
737,54.367
738,54.367
739,54.367
740,54.367
741,54.367
742,54.367
743,54.367
744,54.914
745,54.914
746,54.914
747,54.914
748,54.914
749,54.914
750,54.914
751,54.914
752,54.914
753,54.914
754,54.914
755,54.914
756,54.914
757,54.914
758,54.914
759,54.914
760,54.914
761,54.914
762,54.914
763,54.914
764,54.914
765,54.914
766,54.914
767,54.914
768,54.914
769,54.914
770,54.914
771,54.914
772,54.914
773,54.914
774,54.914
775,54.914
776,54.914
777,54.914
778,54.914
779,54.914
780,54.914
781,54.914
782,54.914
783,54.914
784,54.696
785,54.696
786,54.696
787,54.696
788,54.696
789,54.696
790,54.696
791,54.696
792,54.696
793,54.696
794,54.696
795,54.696
796,54.696
797,54.696
798,54.696
799,54.696
800,54.696
801,54.696
802,54.696
803,54.696
804,54.64
805,54.64
806,54.64
807,54.64
808,54.64
809,54.64
810,54.64
811,54.64
812,54.64
813,54.64
814,54.64
815,54.64
816,54.64
817,54.64
818,54.64
819,54.64
820,54.64
821,54.64
822,54.64
823,54.64
824,54.64
825,54.64
826,54.64
827,54.64
828,54.64
829,54.64
830,54.64
831,54.64
832,54.64
833,54.64
834,54.64
835,54.64
836,54.64
837,54.64
838,54.64
839,54.64
840,54.64
841,54.64
842,54.64
843,54.64
844,54.64
845,54.64
846,54.64
847,54.64
848,54.64
849,54.64
850,54.64
851,54.64
852,54.64
853,54.64
854,54.64
855,54.64
856,54.64
857,54.64
858,54.64
859,54.64
860,54.64
861,54.64
862,54.64
863,54.64
864,54.64
865,54.584
866,54.584
867,54.584
868,54.584
869,54.584
870,54.584
871,54.584
872,54.584
873,54.584
874,54.584
875,54.584
876,54.584
877,54.584
878,54.584
879,54.584
880,54.584
881,54.584
882,54.584
883,54.584
884,54.584
885,54.64
886,54.64
887,54.64
888,54.64
889,54.64
890,54.64
891,54.64
892,54.64
893,54.64
894,54.64
895,54.64
896,54.64
897,54.64
898,54.64
899,54.64
900,54.64
901,54.64
902,54.64
903,54.64
904,54.64
905,54.367
906,54.367
907,54.367
908,54.367
909,54.367
910,54.367
911,54.367
912,54.367
913,54.367
914,54.367
915,54.367
916,54.367
917,54.367
918,54.367
919,54.367
920,54.367
921,54.367
922,54.367
923,54.367
924,54.367
925,54.64
926,54.64
927,54.64
928,54.64
929,54.64
930,54.64
931,54.64
932,54.64
933,54.64
934,54.64
935,54.64
936,54.64
937,54.64
938,54.64
939,54.64
940,54.64
941,54.64
942,54.64
943,54.64
944,54.64
945,54.64
946,54.64
947,54.64
948,54.64
949,54.64
950,54.64
951,54.64
952,54.64
953,54.64
954,54.64
955,54.64
956,54.64
957,54.64
958,54.64
959,54.64
960,54.64
961,54.64
962,54.64
963,54.64
964,54.64
965,54.64
966,56.725
967,56.725
968,56.725
969,56.725
970,56.725
971,56.725
972,56.725
973,56.725
974,56.725
975,56.725
976,56.725
977,56.725
978,56.725
979,56.725
980,56.725
981,56.725
982,56.725
983,56.725
984,56.725
985,67.609
986,67.609
987,67.609
988,67.609
989,67.609
990,67.609
991,67.609
992,67.609
993,67.609
994,67.609
995,67.609
996,67.609
997,67.609
998,67.609
999,67.609
1000,67.609
1001,67.609
1002,67.609
1003,67.609
1004,67.609
1005,70.375
1006,70.375
1007,70.375
1008,70.375
1009,70.375
1010,70.375
1011,70.375
1012,70.375
1013,70.375
1014,70.375
1015,70.375
1016,70.375
1017,70.375
1018,70.375
1019,70.375
1020,70.375
1021,70.375
1022,70.375
1023,70.375
1024,70.375
1025,70.375
1026,70.985
1027,70.985
1028,70.985
1029,70.985
1030,70.985
1031,70.985
1032,70.985
1033,70.985
1034,70.985
1035,70.985
1036,70.985
1037,70.985
1038,70.985
1039,70.985
1040,70.985
1041,70.985
1042,70.985
1043,70.985
1044,70.985
1045,70.985
1046,70.985
1047,70.985
1048,70.985
1049,70.985
1050,70.985
1051,70.985
1052,70.985
1053,70.985
1054,70.985
1055,70.985
1056,70.985
1057,70.985
1058,70.985
1059,70.985
1060,70.985
1061,70.985
1062,70.985
1063,70.985
1064,70.985
1065,70.985
1066,71.258
1067,71.258
1068,71.258
1069,71.258
1070,71.258
1071,71.258
1072,71.258
1073,71.258
1074,71.258
1075,71.258
1076,71.258
1077,71.258
1078,71.258
1079,71.258
1080,71.258
1081,71.258
1082,71.258
1083,71.258
1084,71.258
1085,71.258
1086,70.985
1087,70.985
1088,70.985
1089,70.985
1090,70.985
1091,70.985
1092,70.985
1093,70.985
1094,70.985
1095,70.985
1096,70.985
1097,70.985
1098,70.985
1099,70.985
1100,70.985
1101,70.985
1102,70.985
1103,70.985
1104,70.985
1105,70.985
1106,70.985
1107,70.985
1108,70.985
1109,70.985
1110,70.985
1111,70.985
1112,70.985
1113,70.985
1114,70.985
1115,70.985
1116,70.985
1117,70.985
1118,70.985
1119,70.985
1120,70.985
1121,70.985
1122,70.985
1123,70.985
1124,70.985
1125,70.985
1126,71.532
1127,71.532
1128,71.532
1129,71.532
1130,71.532
1131,71.532
1132,71.532
1133,71.532
1134,71.532
1135,71.532
1136,71.532
1137,71.532
1138,71.532
1139,71.532
1140,71.532
1141,71.532
1142,71.532
1143,71.532
1144,71.532
1145,71.532
1146,71.532
1147,71.532
1148,71.532
1149,71.532
1150,71.532
1151,71.532
1152,71.532
1153,71.532
1154,71.532
1155,71.532
1156,71.532
1157,71.532
1158,71.532
1159,71.532
1160,71.532
1161,71.532
1162,71.532
1163,71.532
1164,71.532
1165,71.532
1166,72.134
1167,72.134
1168,72.134
1169,72.134
1170,72.134
1171,72.134
1172,72.134
1173,72.134
1174,72.134
1175,72.134
1176,72.134
1177,72.134
1178,72.134
1179,72.134
1180,72.134
1181,72.134
1182,72.134
1183,72.134
1184,72.134
1185,72.134
1186,71.86
1187,71.86
1188,71.86
1189,71.86
1190,71.86
1191,71.86
1192,71.86
1193,71.86
1194,71.86
1195,71.86
1196,71.86
1197,71.86
1198,71.86
1199,71.86
1200,71.86
1201,71.86
1202,71.86
1203,71.86
1204,71.86
1205,71.86
1206,71.86
1207,71.86
1208,71.86
1209,71.86
1210,71.86
1211,71.86
1212,71.86
1213,71.86
1214,71.86
1215,71.86
1216,71.86
1217,71.86
1218,71.86
1219,71.86
1220,71.86
1221,71.86
1222,71.86
1223,71.86
1224,71.86
1225,71.86
1226,71.86
1227,71.86
1228,71.86
1229,71.86
1230,71.86
1231,71.86
1232,71.86
1233,71.86
1234,71.86
1235,71.86
1236,71.86
1237,71.86
1238,71.86
1239,71.86
1240,71.86
1241,71.86
1242,71.86
1243,71.86
1244,71.86
1245,71.86
1246,71.86
1247,71.532
1248,71.532
1249,71.532
1250,71.532
1251,71.532
1252,71.532
1253,71.532
1254,71.532
1255,71.532
1256,71.532
1257,71.532
1258,71.532
1259,71.532
1260,71.532
1261,71.532
1262,71.532
1263,71.532
1264,71.532
1265,71.532
1266,71.532
1267,70.375
1268,70.375
1269,70.375
1270,70.375
1271,70.375
1272,70.375
1273,70.375
1274,70.375
1275,70.375
1276,70.375
1277,70.375
1278,70.375
1279,70.375
1280,70.375
1281,70.375
1282,70.375
1283,70.375
1284,70.375
1285,70.375
1286,70.375
1287,69.5
1288,69.5
1289,69.5
1290,69.5
1291,69.5
1292,69.5
1293,69.5
1294,69.5
1295,69.5
1296,69.5
1297,69.5
1298,69.5
1299,69.5
1300,69.5
1301,69.5
1302,69.5
1303,69.5
1304,69.5
1305,69.5
1306,69.5
1307,69.164
1308,69.164
1309,69.164
1310,69.164
1311,69.164
1312,69.164
1313,69.164
1314,69.164
1315,69.164
1316,69.164
1317,69.164
1318,69.164
1319,69.164
1320,69.164
1321,69.164
1322,69.164
1323,69.164
1324,69.164
1325,69.164
1326,69.164
1327,69.164
1328,69.164
1329,69.164
1330,69.164
1331,69.164
1332,69.164
1333,69.164
1334,69.164
1335,69.164
1336,69.164
1337,69.164
1338,69.164
1339,69.164
1340,69.164
1341,69.164
1342,69.164
1343,69.164
1344,69.164
1345,69.164
1346,69.164
1347,69.164
1348,69.164
1349,69.164
