time_ms,power_w
0,51.012
1,51.012
2,51.012
3,51.012
4,51.012
5,51.012
6,51.012
7,51.012
8,51.012
9,51.012
10,51.012
11,51.012
12,51.012
13,51.012
14,51.012
15,51.012
16,51.012
17,51.012
18,51.012
19,51.012
20,50.739
21,50.739
22,50.739
23,50.739
24,50.739
25,50.739
26,50.739
27,50.739
28,50.739
29,50.739
30,50.739
31,50.739
32,50.739
33,50.739
34,50.739
35,50.739
36,50.739
37,50.739
38,50.739
39,50.739
40,51.012
41,51.012
42,51.012
43,51.012
44,51.012
45,51.012
46,51.012
47,51.012
48,51.012
49,51.012
50,51.012
51,51.012
52,51.012
53,51.012
54,51.012
55,51.012
56,51.012
57,51.012
58,51.012
59,51.012
60,50.739
61,50.739
62,50.739
63,50.739
64,50.739
65,50.739
66,50.739
67,50.739
68,50.739
69,50.739
70,50.739
71,50.739
72,50.739
73,50.739
74,50.739
75,50.739
76,50.739
77,50.739
78,50.739
79,50.739
80,50.739
81,50.739
82,50.739
83,50.739
84,50.739
85,50.739
86,50.739
87,50.739
88,50.739
89,50.739
90,50.739
91,50.739
92,50.739
93,50.739
94,50.739
95,50.739
96,50.739
97,50.739
98,50.739
99,50.739
100,50.739
101,50.739
102,50.739
103,50.739
104,50.739
105,50.739
106,50.739
107,50.739
108,50.739
109,50.739
110,50.739
111,50.739
112,50.739
113,50.739
114,50.739
115,50.739
116,50.739
117,50.739
118,50.739
119,50.739
120,50.739
121,50.739
122,50.739
123,50.739
124,50.739
125,50.739
126,50.739
127,50.739
128,50.739
129,50.739
130,50.739
131,50.739
132,50.739
133,50.739
134,50.739
135,50.739
136,50.739
137,50.739
138,50.739
139,50.739
140,50.739
141,51.012
142,51.012
143,51.012
144,51.012
145,51.012
146,51.012
147,51.012
148,51.012
149,51.012
150,51.012
151,51.012
152,51.012
153,51.012
154,51.012
155,51.012
156,51.012
157,51.012
158,51.012
159,51.012
160,51.012
161,50.739
162,50.739
163,50.739
164,50.739
165,50.739
166,50.739
167,50.739
168,50.739
169,50.739
170,50.739
171,50.739
172,50.739
173,50.739
174,50.739
175,50.739
176,50.739
177,50.739
178,50.739
179,50.739
180,50.739
181,50.739
182,50.739
183,50.739
184,50.739
185,50.739
186,50.739
187,50.739
188,50.739
189,50.739
190,50.739
191,50.739
192,50.739
193,50.739
194,50.739
195,50.739
196,50.739
197,50.739
198,50.739
199,50.739
200,50.739
201,50.739
202,50.739
203,50.739
204,50.739
205,50.739
206,50.739
207,50.739
208,50.739
209,50.739
210,50.739
211,50.739
212,50.739
213,50.739
214,50.739
215,50.739
216,50.739
217,50.739
218,50.739
219,50.739
220,50.739
221,50.739
222,50.739
223,50.739
224,50.739
225,50.739
226,50.739
227,50.739
228,50.739
229,50.739
230,50.739
231,50.739
232,50.739
233,50.739
234,50.739
235,50.739
236,50.739
237,50.739
238,50.739
239,50.739
240,50.739
241,51.012
242,51.012
243,51.012
244,51.012
245,51.012
246,51.012
247,51.012
248,51.012
249,51.012
250,51.012
251,51.012
252,51.012
253,51.012
254,51.012
255,51.012
256,51.012
257,51.012
258,51.012
259,51.012
260,51.012
261,51.012
262,50.739
263,50.739
264,50.739
265,50.739
266,50.739
267,50.739
268,50.739
269,50.739
270,50.739
271,50.739
272,50.739
273,50.739
274,50.739
275,50.739
276,50.739
277,50.739
278,50.739
279,50.739
280,50.739
281,50.739
282,50.739
283,50.739
284,50.739
285,50.739
286,50.739
287,50.739
288,50.739
289,50.739
290,50.739
291,50.739
292,50.739
293,50.739
294,50.739
295,50.739
296,50.739
297,50.739
298,50.739
299,50.739
300,50.739
301,50.739
302,50.739
303,50.739
304,50.739
305,50.739
306,50.739
307,50.739
308,50.739
309,50.739
310,50.739
311,50.739
312,50.739
313,50.739
314,50.739
315,50.739
316,50.739
317,50.739
318,50.739
319,50.739
320,50.739
321,50.739
322,50.739
323,50.739
324,50.739
325,50.739
326,50.739
327,50.739
328,50.739
329,50.739
330,50.739
331,50.739
332,50.739
333,50.739
334,50.739
335,50.739
336,50.739
337,50.739
338,50.739
339,50.739
340,50.739
341,50.739
342,50.739
343,50.739
344,50.739
345,50.739
346,50.739
347,50.739
348,50.739
349,50.739
350,50.739
351,50.739
352,50.739
353,50.739
354,50.739
355,50.739
356,50.739
357,50.739
358,50.739
359,50.739
360,50.739
361,50.739
362,50.739
363,50.739
364,50.739
365,50.739
366,50.739
367,50.739
368,50.739
369,50.739
370,50.739
371,50.739
372,50.739
373,50.739
374,50.739
375,50.739
376,50.739
377,50.739
378,50.739
379,50.739
380,50.739
381,50.739
382,50.739
383,50.739
384,50.739
385,50.739
386,50.739
387,50.739
