time_ms,power_w
3,46.621
3,46.621
3,46.621
3,46.621
4,46.621
5,46.621
6,46.621
7,46.621
8,46.621
9,46.621
10,46.621
11,46.621
12,46.621
13,46.621
14,46.621
15,46.621
16,46.621
17,46.621
18,46.621
19,46.621
20,46.621
21,46.621
22,46.621
23,46.621
24,46.621
25,46.621
26,46.621
27,46.621
28,46.621
29,46.621
30,46.621
31,46.621
32,46.621
33,46.621
34,46.621
35,46.621
36,46.621
37,46.621
38,46.621
39,46.621
40,46.621
41,46.621
42,46.621
43,46.621
44,46.621
45,46.621
46,46.621
47,46.621
48,46.621
49,46.621
50,46.621
51,46.621
52,46.621
53,46.621
54,46.621
55,46.621
56,46.621
57,46.621
58,46.621
59,46.621
60,46.621
61,46.621
62,46.621
63,46.621
64,46.621
65,46.621
66,46.621
67,46.621
68,46.621
69,46.621
70,46.621
71,46.621
72,46.621
73,46.621
74,46.621
75,46.621
76,46.621
77,46.621
78,46.621
79,46.621
80,46.621
81,46.621
82,46.621
83,46.621
84,46.621
85,46.621
86,46.621
87,46.621
88,46.621
89,46.621
90,46.621
91,46.621
92,46.621
93,46.621
94,46.621
95,46.621
96,46.621
97,46.621
98,46.621
99,46.621
100,46.621
101,46.621
102,46.621
103,46.621
104,46.621
105,46.621
106,46.621
107,46.621
108,46.621
109,46.621
110,46.621
111,46.621
112,46.621
113,46.621
114,46.621
115,46.621
116,46.621
117,46.621
118,46.621
119,46.621
120,46.621
121,46.621
122,46.621
123,46.621
124,46.34
125,46.34
126,46.34
127,46.34
128,46.34
129,46.34
130,46.34
131,46.34
132,46.34
133,46.34
134,46.34
135,46.34
136,46.34
137,46.34
138,46.34
139,46.34
140,46.34
141,46.34
142,46.34
143,46.34
144,46.34
145,46.34
146,46.34
147,46.34
148,46.34
149,46.34
150,46.34
151,46.34
152,46.34
153,46.34
154,46.34
155,46.34
156,46.34
157,46.34
158,46.34
159,46.34
160,46.34
161,46.34
162,46.34
163,46.34
164,46.34
165,46.34
166,46.34
167,46.34
168,46.34
169,46.34
170,46.34
171,46.34
172,46.34
173,46.34
174,46.34
175,46.34
176,46.34
177,46.34
178,46.34
179,46.34
180,46.34
181,46.34
182,46.34
183,46.34
184,46.34
185,46.34
186,46.34
187,46.34
188,46.34
189,46.34
190,46.34
191,46.34
192,46.34
193,46.34
194,46.34
195,46.34
196,46.34
197,46.34
198,46.34
199,46.34
200,46.34
201,46.34
202,46.34
203,46.34
204,46.34
205,46.34
206,46.34
207,46.34
208,46.34
209,46.34
210,46.34
211,46.34
212,46.34
213,46.34
214,46.34
215,46.34
216,46.34
217,46.34
218,46.34
219,46.34
220,46.34
221,46.34
222,46.34
223,46.34
224,46.34
225,46.34
226,46.34
227,46.34
228,46.34
229,46.34
230,46.34
231,46.34
232,46.34
233,46.34
234,46.34
235,46.34
236,46.34
237,46.34
238,46.34
239,46.34
240,46.34
241,46.34
242,46.34
243,46.34
244,46.34
245,46.34
246,46.34
247,46.34
248,46.34
249,46.34
250,46.34
251,46.34
252,46.34
253,46.34
254,46.34
255,46.34
256,46.34
257,46.34
258,46.34
259,46.34
260,46.34
261,46.34
262,46.34
263,46.34
264,46.34
265,46.34
266,46.34
267,46.34
268,46.34
269,46.34
270,46.34
271,46.34
272,46.34
273,46.34
274,46.34
275,46.34
276,46.34
277,46.34
278,46.34
279,46.34
280,46.34
281,46.34
282,46.34
283,46.34
284,46.34
285,46.34
286,46.34
287,46.34
288,46.34
289,46.34
290,46.34
291,46.34
292,46.34
293,46.34
294,46.34
295,46.34
296,46.34
297,46.34
298,46.34
299,46.34
300,46.34
301,46.34
302,46.34
303,46.34
304,46.34
305,46.34
306,46.34
307,46.34
308,46.34
309,46.34
310,46.34
311,46.34
312,46.34
313,46.34
314,46.34
315,46.34
316,46.34
317,46.34
318,46.34
319,46.34
320,46.34
321,46.34
322,46.34
323,46.34
324,46.02
325,46.02
326,46.02
327,46.02
328,46.02
329,46.02
330,46.02
331,46.02
332,46.02
333,46.02
334,46.02
335,46.02
336,46.02
337,46.02
338,46.02
339,46.02
340,46.02
341,46.02
342,46.02
343,46.02
344,46.02
345,46.02
346,46.02
347,46.02
348,46.02
349,46.02
350,46.02
351,46.02
352,46.02
353,46.02
354,46.02
355,46.02
356,46.02
357,46.02
358,46.02
359,46.02
360,46.02
361,46.02
362,46.02
363,46.02
364,46.02
365,46.02
366,46.02
367,46.02
368,46.02
369,46.02
370,46.02
371,46.02
372,46.02
373,46.02
374,46.02
375,46.02
376,46.02
377,46.02
378,46.02
379,46.02
380,46.02
381,46.02
382,46.02
383,46.02
384,46.02
385,46.02
386,46.02
387,46.02
388,46.02
389,46.02
390,46.02
391,46.02
392,46.02
393,46.02
394,46.02
395,46.02
396,46.02
397,46.02
398,46.02
399,46.02
400,46.02
401,46.02
402,46.02
403,46.02
404,46.02
405,46.02
406,46.02
407,46.02
408,46.02
409,46.02
410,46.02
411,46.02
412,46.02
413,46.02
414,46.02
415,46.02
416,46.02
417,46.02
418,46.02
419,46.02
420,46.02
421,46.02
422,46.02
423,46.02
424,46.067
425,46.067
426,46.067
427,46.067
428,46.067
429,46.067
430,46.067
431,46.067
432,46.067
433,46.067
434,46.067
435,46.067
436,46.067
437,46.067
438,46.067
439,46.067
440,46.067
441,46.067
442,46.067
443,46.067
444,46.067
445,46.067
446,46.067
447,46.067
448,46.067
449,46.067
450,46.067
451,46.067
452,46.067
453,46.067
454,46.067
455,46.067
456,46.067
457,46.067
458,46.067
459,46.067
460,46.067
461,46.067
462,46.067
463,46.067
464,46.067
465,46.067
466,46.067
467,46.067
468,46.067
469,46.067
470,46.067
471,46.067
472,46.067
473,46.067
474,46.067
475,46.067
476,46.067
477,46.067
478,46.067
479,46.067
480,46.067
481,46.067
482,46.067
483,46.067
484,46.067
485,46.067
486,46.067
487,46.067
488,46.067
489,46.067
490,46.067
491,46.067
492,46.067
493,46.067
494,46.067
495,46.067
496,46.067
497,46.067
498,46.067
499,46.067
500,46.067
501,46.067
502,46.067
503,46.067
504,46.067
505,46.067
506,46.067
507,46.067
508,46.067
509,46.067
510,46.067
511,46.067
512,46.067
513,46.067
514,46.067
515,46.067
516,46.067
517,46.067
518,46.067
519,46.067
520,46.067
521,46.067
522,46.067
523,46.067
524,46.02
525,46.02
526,46.02
527,46.02
528,46.02
529,46.02
530,46.02
531,46.02
532,46.02
533,46.02
534,46.02
535,46.02
536,46.02
537,46.02
538,46.02
539,46.02
540,46.02
541,46.02
542,46.02
543,46.02
544,46.02
545,46.02
546,46.02
547,46.02
548,46.02
549,46.02
550,46.02
551,46.02
552,46.02
553,46.02
554,46.02
555,46.02
556,46.02
557,46.02
558,46.02
559,46.02
560,46.02
561,46.02
562,46.02
563,46.02
564,46.02
565,46.02
566,46.02
567,46.02
568,46.02
569,46.02
570,46.02
571,46.02
572,46.02
573,46.02
574,46.02
575,46.02
576,46.02
577,46.02
578,46.02
579,46.02
580,46.02
581,46.02
582,46.02
583,46.02
584,46.02
585,46.02
586,46.02
587,46.02
588,46.02
589,46.02
590,46.02
591,46.02
592,46.02
593,46.02
594,46.02
595,46.02
596,46.02
597,46.02
598,46.02
599,46.02
600,46.02
601,46.02
602,46.02
603,46.02
604,46.02
605,46.02
606,46.02
607,46.02
608,46.02
609,46.02
610,46.02
611,46.02
612,46.02
613,46.02
614,46.02
615,46.02
616,46.02
617,46.02
618,46.02
619,46.02
620,46.02
621,46.02
622,46.02
623,46.02
624,46.02
625,46.02
626,46.02
627,46.02
628,46.02
629,46.02
630,46.02
631,46.02
632,46.02
633,46.02
634,46.02
635,46.02
636,46.02
637,46.02
638,46.02
639,46.02
640,46.02
641,46.02
642,46.02
643,46.02
644,46.02
645,46.02
646,46.02
647,46.02
648,46.02
649,46.02
650,46.02
651,46.02
652,46.02
653,46.02
654,46.02
655,46.02
656,46.02
657,46.02
658,46.02
659,46.02
660,46.02
661,46.02
662,46.02
663,46.02
664,46.02
665,46.02
666,46.02
667,46.02
668,46.02
669,46.02
670,46.02
671,46.02
672,46.02
673,46.02
674,46.02
675,46.02
676,46.02
677,46.02
678,46.02
679,46.02
680,46.02
681,46.02
682,46.02
683,46.02
684,46.02
685,46.02
686,46.02
687,46.02
688,46.02
689,46.02
690,46.02
691,46.02
692,46.02
693,46.02
694,46.02
695,46.02
696,46.02
697,46.02
698,46.02
699,46.02
700,46.02
701,46.02
702,46.02
703,46.02
704,46.02
705,46.02
706,46.02
707,46.02
708,46.02
709,46.02
710,46.02
711,46.02
712,46.02
713,46.02
714,46.02
715,46.02
716,46.02
717,46.02
718,46.02
719,46.02
720,46.02
721,46.02
722,46.02
723,46.02
724,45.786
725,45.786
726,45.786
727,45.786
728,45.786
729,45.786
730,45.786
731,45.786
732,45.786
733,45.786
734,45.786
735,45.786
736,45.786
737,45.786
738,45.786
739,45.786
740,45.786
741,45.786
742,45.786
743,45.786
744,45.786
745,45.786
746,45.786
747,45.786
748,45.786
749,45.786
750,45.786
751,45.786
752,45.786
753,45.786
754,45.786
755,45.786
756,45.786
757,45.786
758,45.786
759,45.786
760,45.786
761,45.786
762,45.786
763,45.786
764,45.786
765,45.786
766,45.786
767,45.786
768,45.786
769,45.786
770,45.786
771,45.786
772,45.786
773,45.786
774,45.786
775,45.786
776,45.786
777,45.786
778,45.786
779,45.786
780,45.786
781,45.786
782,45.786
783,45.786
784,45.786
785,45.786
786,45.786
787,45.786
788,45.786
789,45.786
790,45.786
791,45.786
792,45.786
793,45.786
794,45.786
795,45.786
796,45.786
797,45.786
798,45.786
799,45.786
800,45.786
801,45.786
802,45.786
803,45.786
804,45.786
805,45.786
806,45.786
807,45.786
808,45.786
809,45.786
810,45.786
811,45.786
812,45.786
813,45.786
814,45.786
815,45.786
816,45.786
817,45.786
818,45.786
819,45.786
820,45.786
821,45.786
822,45.786
823,45.786
824,45.786
825,45.786
826,45.786
827,45.786
828,45.786
829,45.786
830,45.786
831,45.786
832,45.786
833,45.786
834,45.786
835,45.786
836,45.786
837,45.786
838,45.786
839,45.786
840,45.786
841,45.786
842,45.786
843,45.786
844,45.786
845,45.786
846,45.786
847,45.786
848,45.786
849,45.786
850,45.786
851,45.786
852,45.786
853,45.786
854,45.786
855,45.786
856,45.786
857,45.786
858,45.786
859,45.786
860,45.786
861,45.786
862,45.786
863,45.786
864,45.786
865,45.786
866,45.786
867,45.786
868,45.786
869,45.786
870,45.786
871,45.786
872,45.786
873,45.786
874,45.786
875,45.786
876,45.786
877,45.786
878,45.786
879,45.786
880,45.786
881,45.786
882,45.786
883,45.786
884,45.786
885,45.786
886,45.786
887,45.786
888,45.786
889,45.786
890,45.786
891,45.786
892,45.786
893,45.786
894,45.786
895,45.786
