time_ms,power_w,wall_time_str
0,55.496,04:16:06.891
1,55.496,04:16:06.891
2,55.496,04:16:06.891
3,55.496,04:16:06.891
4,55.496,04:16:06.891
5,55.496,04:16:06.891
6,55.496,04:16:06.891
7,55.496,04:16:06.891
8,55.496,04:16:06.891
9,55.496,04:16:06.891
10,55.496,04:16:06.891
11,55.496,04:16:06.891
12,55.496,04:16:06.891
13,55.496,04:16:06.891
14,55.496,04:16:06.891
15,55.496,04:16:06.891
16,55.496,04:16:06.891
17,55.496,04:16:06.891
18,55.496,04:16:06.891
19,55.496,04:16:06.891
20,55.553,04:16:06.891
21,55.553,04:16:06.891
22,55.553,04:16:06.891
23,55.553,04:16:06.891
24,55.553,04:16:06.891
25,55.553,04:16:06.891
26,55.553,04:16:06.891
27,55.553,04:16:06.891
28,55.553,04:16:06.891
29,55.553,04:16:06.891
30,55.553,04:16:06.891
31,55.553,04:16:06.891
32,55.553,04:16:06.891
33,55.553,04:16:06.891
34,55.553,04:16:06.891
35,55.553,04:16:06.891
36,55.553,04:16:06.891
37,55.553,04:16:06.891
38,55.553,04:16:06.891
39,55.553,04:16:06.891
40,55.553,04:16:06.891
41,55.44,04:16:06.891
42,55.44,04:16:06.891
43,55.44,04:16:06.891
44,55.44,04:16:06.891
45,55.44,04:16:06.891
46,55.44,04:16:06.891
47,55.44,04:16:06.891
48,55.44,04:16:06.891
49,55.44,04:16:06.891
50,55.44,04:16:06.891
51,55.44,04:16:06.891
52,55.44,04:16:06.891
53,55.44,04:16:06.891
54,55.44,04:16:06.891
55,55.44,04:16:06.891
56,55.44,04:16:06.891
57,55.44,04:16:06.891
58,55.44,04:16:06.891
59,55.44,04:16:06.891
60,55.44,04:16:06.891
61,55.713,04:16:06.891
62,55.713,04:16:06.891
63,55.713,04:16:06.891
64,55.713,04:16:06.891
65,55.713,04:16:06.891
66,55.713,04:16:06.891
67,55.713,04:16:06.891
68,55.713,04:16:06.891
69,55.713,04:16:06.891
70,55.713,04:16:06.891
71,55.713,04:16:06.891
72,55.713,04:16:06.891
73,55.713,04:16:06.891
74,55.713,04:16:06.891
75,55.713,04:16:06.891
76,55.713,04:16:06.891
77,55.713,04:16:06.891
78,55.713,04:16:06.891
79,55.713,04:16:06.891
80,55.713,04:16:06.891
81,55.713,04:16:06.891
82,55.713,04:16:06.891
83,55.713,04:16:06.891
84,55.713,04:16:06.891
85,55.713,04:16:06.891
86,55.713,04:16:06.891
87,55.713,04:16:06.891
88,55.713,04:16:06.891
89,55.713,04:16:06.891
90,55.713,04:16:06.891
91,55.713,04:16:06.891
92,55.713,04:16:06.891
93,55.713,04:16:06.891
94,55.713,04:16:06.891
95,55.713,04:16:06.891
96,55.713,04:16:06.891
97,55.713,04:16:06.891
98,55.713,04:16:06.891
99,55.713,04:16:06.891
100,55.713,04:16:06.891
101,55.383,04:16:06.891
102,55.383,04:16:06.891
103,55.383,04:16:06.891
104,55.383,04:16:06.891
105,55.383,04:16:06.891
106,55.383,04:16:06.891
107,55.383,04:16:06.891
108,55.383,04:16:06.891
109,55.383,04:16:06.891
110,55.383,04:16:06.891
111,55.383,04:16:06.891
112,55.383,04:16:06.891
113,55.383,04:16:06.891
114,55.383,04:16:06.891
115,55.383,04:16:06.891
116,55.383,04:16:06.891
117,55.383,04:16:06.891
118,55.383,04:16:06.891
119,55.383,04:16:06.891
120,55.383,04:16:06.891
121,55.77,04:16:06.891
122,55.77,04:16:06.891
123,55.77,04:16:06.891
124,55.77,04:16:06.891
125,55.77,04:16:06.891
126,55.77,04:16:06.891
127,55.77,04:16:06.891
128,55.77,04:16:06.891
129,55.77,04:16:06.891
130,55.77,04:16:06.891
131,55.77,04:16:06.891
132,55.77,04:16:06.891
133,55.77,04:16:06.891
134,55.77,04:16:06.891
135,55.77,04:16:06.891
136,55.77,04:16:06.891
137,55.77,04:16:06.891
138,55.77,04:16:06.891
139,55.77,04:16:06.891
140,55.77,04:16:06.891
141,55.656,04:16:06.891
142,55.656,04:16:06.891
143,55.656,04:16:06.891
144,55.656,04:16:06.891
145,55.656,04:16:06.891
146,55.656,04:16:06.891
147,55.656,04:16:06.891
148,55.656,04:16:06.891
149,55.656,04:16:06.891
150,55.656,04:16:06.891
151,55.656,04:16:06.891
152,55.656,04:16:06.891
153,55.656,04:16:06.891
154,55.656,04:16:06.891
155,55.656,04:16:06.891
156,55.656,04:16:06.891
157,55.656,04:16:06.891
158,55.656,04:16:06.891
159,55.656,04:16:06.891
160,55.656,04:16:06.891
161,55.383,04:16:06.891
162,55.383,04:16:06.891
163,55.383,04:16:06.891
164,55.383,04:16:06.891
165,55.383,04:16:06.891
166,55.383,04:16:06.891
167,55.383,04:16:06.891
168,55.383,04:16:06.891
169,55.383,04:16:06.891
170,55.383,04:16:06.891
171,55.383,04:16:06.891
172,55.383,04:16:06.891
173,55.383,04:16:06.891
174,55.383,04:16:06.891
175,55.383,04:16:06.891
176,55.383,04:16:06.891
177,55.383,04:16:06.891
178,55.383,04:16:06.891
179,55.383,04:16:06.891
180,55.383,04:16:06.891
181,55.713,04:16:06.891
182,55.713,04:16:06.891
183,55.713,04:16:06.891
184,55.713,04:16:06.891
185,55.713,04:16:06.891
186,55.713,04:16:06.891
187,55.713,04:16:06.891
188,55.713,04:16:06.891
189,55.713,04:16:06.891
190,55.713,04:16:06.891
191,55.713,04:16:06.891
192,55.713,04:16:06.891
193,55.713,04:16:06.891
194,55.713,04:16:06.891
195,55.713,04:16:06.891
196,55.713,04:16:06.891
197,55.713,04:16:06.891
198,55.713,04:16:06.891
199,55.713,04:16:06.891
200,55.713,04:16:06.891
201,55.713,04:16:06.891
202,55.713,04:16:06.891
203,55.713,04:16:06.891
204,55.713,04:16:06.891
205,55.713,04:16:06.891
206,55.713,04:16:06.891
207,55.713,04:16:06.891
208,55.713,04:16:06.891
209,55.713,04:16:06.891
210,55.713,04:16:06.891
211,55.713,04:16:06.891
212,55.713,04:16:06.891
213,55.713,04:16:06.891
214,55.713,04:16:06.891
215,55.713,04:16:06.891
216,55.713,04:16:06.891
217,55.713,04:16:06.891
218,55.713,04:16:06.891
219,55.713,04:16:06.891
220,55.713,04:16:06.891
221,55.77,04:16:06.891
222,55.77,04:16:06.891
223,55.77,04:16:06.891
224,55.77,04:16:06.891
225,55.77,04:16:06.891
226,55.77,04:16:06.891
227,55.77,04:16:06.891
228,55.77,04:16:06.891
229,55.77,04:16:06.891
230,55.77,04:16:06.891
231,55.77,04:16:06.891
232,55.77,04:16:06.891
233,55.77,04:16:06.891
234,55.77,04:16:06.891
235,55.77,04:16:06.891
236,55.77,04:16:06.891
237,55.77,04:16:06.891
238,55.77,04:16:06.891
239,55.77,04:16:06.891
240,55.77,04:16:06.891
241,55.77,04:16:06.891
242,55.44,04:16:06.891
243,55.44,04:16:06.891
244,55.44,04:16:06.891
245,55.44,04:16:06.891
246,55.44,04:16:06.891
247,55.44,04:16:06.891
